grid_index,latitude_era5,longitude_era5,registros_estacao_ano,estacoes_unicas
1017,4.5,-61.25,2,1
1538,3.75,-51.75,16,1
1828,3.25,-59.75,1,1
2146,2.75,-60.75,16,1
3277,1.0,-59.75,2,1
3471,0.75,-51.5,7,1
3561,0.5,-69.25,1,1
3635,0.5,-50.75,6,1
3892,0.0,-67.0,8,1
3956,0.0,-51.0,13,1
4053,-0.25,-67.0,7,1
4222,-0.5,-65.0,1,1
4293,-0.5,-47.25,18,1
4449,-0.75,-48.5,15,1
4552,-1.0,-63.0,17,1
4617,-1.0,-46.75,18,1
4773,-1.25,-48.0,23,1
4932,-1.5,-48.5,23,1
5079,-1.75,-52.0,4,1
5085,-1.75,-50.5,5,1
5099,-1.75,-47.0,15,1
5106,-1.75,-45.25,17,1
5208,-2.0,-60.0,27,2
5226,-2.0,-55.5,7,1
5232,-2.0,-54.0,13,1
5411,-2.25,-49.5,13,1
5435,-2.25,-43.5,12,1
5539,-2.5,-57.75,6,1
5551,-2.5,-54.75,10,1
5577,-2.5,-48.25,18,1
5593,-2.5,-44.25,23,1
5599,-2.5,-42.75,17,1
5691,-2.75,-60.0,11,1
5693,-2.75,-59.5,6,1
5704,-2.75,-56.75,18,1
5752,-2.75,-44.75,2,1
5813,-3.0,-69.75,2,1
5852,-3.0,-60.0,28,2
5861,-3.0,-57.75,11,1
5902,-3.0,-47.5,6,1
5903,-3.0,-47.25,13,1
5925,-3.0,-41.75,22,1
5932,-3.0,-40.0,15,1
6010,-3.25,-60.75,18,1
6019,-3.25,-58.5,18,1
6043,-3.25,-52.5,7,1
6070,-3.25,-45.75,7,1
6155,-3.5,-64.75,2,1
6177,-3.5,-59.25,6,1
6183,-3.5,-57.75,14,1
6202,-3.5,-53.0,18,1
6256,-3.5,-39.5,15,1
6358,-3.75,-54.25,6,1
6372,-3.75,-50.75,17,1
6376,-3.75,-49.75,18,1
6402,-3.75,-43.25,17,1
6411,-3.75,-41.0,7,1
6414,-3.75,-40.25,22,1
6421,-3.75,-38.5,23,1
6483,-4.0,-63.25,18,1
6519,-4.0,-54.25,11,1
6567,-4.0,-42.25,11,1
6617,-4.25,-70.0,1,1
6673,-4.25,-56.0,17,1
6697,-4.25,-50.0,17,1
6707,-4.25,-47.5,10,2
6711,-4.25,-46.5,17,1
6718,-4.25,-44.75,18,1
6730,-4.25,-41.75,19,1
6741,-4.25,-39.0,6,1
6744,-4.25,-38.25,12,1
6772,-4.5,-71.5,1,1
7026,-4.75,-48.25,18,1
7046,-4.75,-43.25,17,1
7050,-4.75,-42.25,7,1
7068,-4.75,-37.75,19,1
7209,-5.0,-42.75,20,1
7224,-5.0,-39.0,6,1
7227,-5.0,-38.25,4,1
7231,-5.0,-37.25,18,1
7343,-5.25,-49.5,10,1
7344,-5.25,-49.25,7,1
7345,-5.25,-49.0,3,1
7375,-5.25,-41.5,15,1
7378,-5.25,-40.75,18,1
7384,-5.25,-39.25,19,1
7388,-5.25,-38.25,15,1
7395,-5.25,-36.5,18,1
7399,-5.25,-35.5,15,1
7512,-5.5,-47.5,18,1
7521,-5.5,-45.25,17,1
7555,-5.5,-36.75,9,1
7618,-5.75,-61.25,13,1
7671,-5.75,-48.0,16,1
7678,-5.75,-46.25,18,1
7712,-5.75,-37.75,18,1
7722,-5.75,-35.25,7,1
7823,-6.0,-50.25,15,1
7847,-6.0,-44.25,18,1
7853,-6.0,-42.75,14,2
7863,-6.0,-40.25,16,1
7869,-6.0,-38.75,17,1
7883,-6.0,-35.25,16,1
7954,-6.25,-57.75,2,1
7962,-6.25,-55.75,12,1
8041,-6.25,-36.0,14,1
8179,-6.5,-41.75,16,1
8189,-6.5,-39.25,19,1
8198,-6.5,-37.0,19,1
8205,-6.5,-35.25,17,1
8228,-6.75,-69.75,8,1
8299,-6.75,-52.0,9,1
8302,-6.75,-51.25,11,1
8317,-6.75,-47.5,18,1
8335,-6.75,-43.0,21,1
8354,-6.75,-38.25,19,1
8468,-7.0,-50.0,10,1
8473,-7.0,-48.75,10,1
8475,-7.0,-48.25,19,1
8499,-7.0,-42.25,17,1
8502,-7.0,-41.5,18,1
8507,-7.0,-40.25,15,1
8519,-7.0,-37.25,19,1
8525,-7.0,-35.75,22,1
8570,-7.25,-64.75,7,1
8589,-7.25,-60.0,16,1
8639,-7.25,-47.5,19,1
8672,-7.25,-39.25,17,1
8676,-7.25,-38.25,6,1
8685,-7.25,-36.0,20,1
8690,-7.25,-34.75,19,1
8699,-7.5,-72.75,5,1
8700,-7.5,-72.5,4,1
8731,-7.5,-64.75,11,1
8738,-7.5,-63.0,6,1
8806,-7.5,-46.0,18,1
8813,-7.5,-44.25,18,1
8845,-7.5,-36.25,18,1
9008,-7.75,-35.75,18,1
9060,-8.0,-63.0,11,1
9070,-8.0,-60.5,7,1
9112,-8.0,-50.0,7,1
9118,-8.0,-48.5,7,1
9140,-8.0,-43.0,7,1
9144,-8.0,-42.0,9,1
9148,-8.0,-41.0,12,1
9152,-8.0,-40.0,16,1
9156,-8.0,-39.0,9,1
9159,-8.0,-38.25,17,1
9164,-8.0,-37.0,19,1
9172,-8.0,-35.0,18,1
9182,-8.25,-72.75,12,1
9191,-8.25,-70.5,10,1
9192,-8.25,-70.25,6,1
9276,-8.25,-49.25,18,1
9286,-8.25,-46.75,11,1
9293,-8.25,-45.0,8,1
9304,-8.25,-42.25,18,1
9308,-8.25,-41.25,7,1
9329,-8.25,-36.0,19,1
9459,-8.5,-43.75,19,1
9477,-8.5,-39.25,19,1
9480,-8.5,-38.5,18,1
9483,-8.5,-37.75,18,1
9486,-8.5,-37.0,22,1
9526,-8.75,-67.25,17,1
9540,-8.75,-63.75,5,1
9541,-8.75,-63.5,12,1
9596,-8.75,-49.75,5,1
9653,-8.75,-35.5,18,1
9665,-9.0,-72.75,13,1
9763,-9.0,-48.25,19,1
9772,-9.0,-46.0,18,1
9779,-9.0,-44.25,19,1
9785,-9.0,-42.75,18,1
9796,-9.0,-40.0,11,1
9810,-9.0,-36.5,19,1
9837,-9.25,-70.0,15,1
9916,-9.25,-50.25,18,1
9928,-9.25,-47.25,3,1
9944,-9.25,-43.25,17,1
9975,-9.25,-35.5,17,1
10048,-9.5,-57.5,19,1
10079,-9.5,-49.75,14,1
10110,-9.5,-42.0,11,1
10116,-9.5,-40.5,22,1
10127,-9.5,-37.75,9,1
10132,-9.5,-36.5,19,1
10135,-9.5,-35.75,22,1
10166,-9.75,-68.25,2,1
10215,-9.75,-56.0,12,1
10250,-9.75,-47.25,7,1
10258,-9.75,-45.25,10,1
10271,-9.75,-42.0,7,1
10281,-9.75,-39.5,14,1
10289,-9.75,-37.5,17,1
10293,-9.75,-36.5,18,1
10327,-10.0,-68.25,13,1
10329,-10.0,-67.75,2,1
10348,-10.0,-63.0,15,1
10366,-10.0,-58.5,18,1
10375,-10.0,-56.25,5,1
10377,-10.0,-55.75,17,1
10380,-10.0,-55.0,22,1
10419,-10.0,-45.25,7,1
10430,-10.0,-42.5,6,1
10447,-10.0,-38.25,10,1
10523,-10.25,-59.5,3,1
10568,-10.25,-48.25,22,1
10611,-10.25,-37.5,9,1
10616,-10.25,-36.25,17,1
10713,-10.5,-52.25,5,1
10723,-10.5,-49.75,9,1
10738,-10.5,-46.0,13,1
10741,-10.5,-45.25,8,1
10757,-10.5,-41.25,16,1
10761,-10.5,-40.25,18,1
10766,-10.5,-39.0,18,1
10771,-10.5,-37.75,14,1
10776,-10.5,-36.5,18,1
10822,-10.75,-65.25,2,1
10884,-10.75,-49.75,10,1
10908,-10.75,-43.75,16,1
10931,-10.75,-38.0,16,1
10933,-10.75,-37.5,5,1
10969,-11.0,-68.75,15,1
11051,-11.0,-48.25,4,1
11063,-11.0,-45.25,10,1
11066,-11.0,-44.5,18,1
11071,-11.0,-43.25,18,1
11086,-11.0,-39.5,18,1
11090,-11.0,-38.5,8,1
11096,-11.0,-37.0,22,1
11170,-11.25,-58.75,17,1
11175,-11.25,-57.5,17,1
11216,-11.25,-47.25,10,1
11238,-11.25,-41.75,18,1
11243,-11.25,-40.5,16,1
11254,-11.25,-37.75,19,1
11320,-11.5,-61.5,18,1
11331,-11.5,-58.75,3,1
11363,-11.5,-50.75,16,1
11373,-11.5,-48.25,7,1
11379,-11.5,-46.75,18,1
11531,-11.75,-49.0,19,1
11571,-11.75,-39.0,17,1
11577,-11.75,-37.5,11,1
11666,-12.0,-55.5,19,1
11682,-12.0,-51.5,7,1
11690,-12.0,-49.5,18,1
11694,-12.0,-48.5,20,1
11708,-12.0,-45.0,7,1
11727,-12.0,-40.25,16,1
11737,-12.0,-37.75,7,1
11823,-12.25,-56.5,1,1
11845,-12.25,-51.0,1,1
11866,-12.25,-45.75,24,1
11869,-12.25,-45.0,17,1
11876,-12.25,-43.25,18,1
11888,-12.25,-40.25,5,1
11893,-12.25,-39.0,18,1
11952,-12.5,-64.5,1,1
11977,-12.5,-58.25,6,1
11987,-12.5,-55.75,23,1
12001,-12.5,-52.25,16,1
12012,-12.5,-49.5,11,1
12019,-12.5,-47.75,21,1
12044,-12.5,-41.5,18,1
12049,-12.5,-40.25,23,1
12130,-12.75,-60.25,20,2
12137,-12.75,-58.5,11,1
12162,-12.75,-52.25,1,1
12170,-12.75,-50.25,9,1
12214,-12.75,-39.25,16,1
12215,-12.75,-39.0,7,1
12217,-12.75,-38.5,8,1
12303,-13.0,-57.25,11,1
12304,-13.0,-57.0,6,1
12308,-13.0,-56.0,1,1
12362,-13.0,-42.5,3,1
12374,-13.0,-39.5,18,1
12378,-13.0,-38.5,26,1
12458,-13.25,-58.75,5,1
12480,-13.25,-53.25,18,1
12497,-13.25,-49.0,7,1
12505,-13.25,-47.0,19,1
12515,-13.25,-44.5,19,1
12519,-13.25,-43.5,6,1
12526,-13.25,-41.75,17,1
12536,-13.25,-39.25,16,1
12627,-13.5,-56.75,23,1
12635,-13.5,-54.75,6,1
12657,-13.5,-49.25,1,1
12681,-13.5,-43.25,12,1
12694,-13.5,-40.0,23,1
12776,-13.75,-59.75,19,1
12784,-13.75,-57.75,23,1
12795,-13.75,-55.0,11,1
12967,-14.0,-52.25,20,1
12991,-14.0,-46.25,19,1
13020,-14.0,-39.0,17,1
13147,-14.25,-47.5,19,1
13166,-14.25,-42.75,18,1
13170,-14.25,-41.75,18,1
13178,-14.25,-39.75,15,1
13272,-14.5,-56.5,1,1
13282,-14.5,-54.0,18,1
13294,-14.5,-51.0,1,1
13320,-14.5,-44.5,7,1
13429,-14.75,-57.5,22,1
13433,-14.75,-56.5,6,1
13502,-14.75,-39.25,23,1
13581,-15.0,-59.75,19,1
13587,-15.0,-58.25,6,1
13604,-15.0,-54.0,18,1
13622,-15.0,-49.5,19,1
13644,-15.0,-44.0,31,2
13649,-15.0,-42.75,17,1
13657,-15.0,-40.75,19,1
13744,-15.25,-59.25,16,1
13749,-15.25,-58.0,11,1
13752,-15.25,-57.25,6,1
13785,-15.25,-49.0,19,1
13799,-15.25,-45.5,19,1
13820,-15.25,-40.25,16,1
13825,-15.25,-39.0,18,1
13912,-15.5,-57.5,11,1
13915,-15.5,-56.75,17,1
13918,-15.5,-56.0,7,1
13921,-15.5,-55.25,20,1
13924,-15.5,-54.5,8,1
13949,-15.5,-48.25,9,1
13951,-15.5,-47.75,18,1
13956,-15.5,-46.5,19,1
13965,-15.5,-44.25,10,1
14111,-15.75,-48.0,26,1
14130,-15.75,-43.25,10,1
14133,-15.75,-42.5,19,1
14137,-15.75,-41.5,19,1
14233,-16.0,-57.75,9,1
14255,-16.0,-52.25,20,2
14263,-16.0,-50.25,19,1
14271,-16.0,-48.25,12,1
14274,-16.0,-47.5,9,1
14307,-16.0,-39.25,17,1
14410,-16.25,-53.75,18,1
14433,-16.25,-48.0,20,1
14445,-16.25,-45.0,19,1
14456,-16.25,-42.25,19,1
14462,-16.25,-40.75,24,1
14568,-16.5,-54.5,23,1
14581,-16.5,-51.25,13,1
14595,-16.5,-47.75,8,1
14598,-16.5,-47.0,19,1
14620,-16.5,-41.5,19,1
14629,-16.5,-39.25,16,1
14750,-16.75,-49.25,25,1
14753,-16.75,-48.5,16,1
14757,-16.75,-47.5,19,1
14767,-16.75,-45.0,2,1
14772,-16.75,-43.75,24,1
14777,-16.75,-42.5,2,1
14779,-16.75,-42.0,5,1
14901,-17.0,-51.75,19,1
14906,-17.0,-50.5,18,1
14950,-17.0,-39.5,7,1
15050,-17.25,-54.75,11,1
15051,-17.25,-54.5,5,1
15056,-17.25,-53.25,15,1
15069,-17.25,-50.0,9,1
15076,-17.25,-48.25,19,1
15081,-17.25,-47.0,8,1
15090,-17.25,-44.75,19,1
15220,-17.5,-52.5,19,1
15241,-17.5,-47.25,19,1
15272,-17.5,-39.5,1,1
15372,-17.75,-54.75,6,1
15378,-17.75,-53.25,18,1
15387,-17.75,-51.0,19,1
15395,-17.75,-49.0,24,1
15407,-17.75,-46.0,19,1
15421,-17.75,-42.5,19,1
15430,-17.75,-40.25,20,1
15434,-17.75,-39.25,23,1
15534,-18.0,-54.5,11,2
15545,-18.0,-51.75,19,1
15586,-18.0,-41.5,20,1
15597,-18.0,-38.75,13,1
15721,-18.25,-48.0,18,1
15731,-18.25,-45.5,20,1
15738,-18.25,-43.75,19,1
15750,-18.25,-40.75,9,1
15855,-18.5,-54.75,20,1
15861,-18.5,-53.25,7,1
15877,-18.5,-49.25,19,1
