ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,alerta_distancia,observacoes_inmet,cobertura_temp
2000,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,False,5174.0,0.9020223152022316
2000,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,False,5011.0,0.8809774964838256
2000,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,False,2093.0,0.3742846924177396
2000,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,-22.75,-43.75,18636,8.810703090067518,False,5066.0,0.8831938633193863
2000,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,-30.0,-51.25,23275,9.760944874702881,False,2378.0,0.981023102310231
2001,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,False,7956.0,0.9082191780821918
2001,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,-16.75,-49.25,14750,12.343314852630817,False,4486.0,0.8613671274961597
2001,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,-17.75,-49.0,15395,11.220997656564998,False,4617.0,0.870475113122172
2001,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,-3.0,-60.0,5852,11.633371062005196,False,6450.0,0.7363013698630136
2001,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,-13.0,-38.5,12378,2.5874811367889103,False,8489.0,0.9690639269406393
2001,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.266082519300161,False,142.0,0.4930555555555556
2001,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,-22.75,-43.75,18636,8.810703090067518,False,6798.0,0.7760273972602739
