codigo,estacao,uf,regiao,latitude,longitude,altitude_m,ano_inicio,ano_fim,anos_presentes,anos_cobertura_80,anos_cobertura_90,cobertura_mediana,observacoes_validas,deslocamento_max_coord_km,coordenada_suspeita,dentro_dominio_era5
A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,2000,2025,26,26,25,0.9973214062928861,219705,0.01398842027750158,False,True
A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,2001,2025,25,24,22,0.9930365296803653,207094,0.02959385011108677,False,True
A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,2001,2025,25,19,17,0.9920309653916212,183769,3.162982582999043,False,True
A005,PORANGATU,GO,CO,-13.30944444,-49.11749999,365.0,2018,2025,8,5,5,0.9589119070788732,51278,24.414217027042948,True,True
A009,PALMAS,TO,N,-10.18333333,-48.3,280.0,2004,2025,22,20,13,0.9453767123287671,158598,4.257973878614599,False,True
A010,PARANA,TO,N,-12.615,-47.87194443,280.0,2005,2025,21,18,16,0.9565068493150685,165287,0.01226452851493142,False,True
A011,SAO SIMAO,GO,CO,-18.96666666,-50.61666666,488.51,2006,2025,20,17,13,0.9685502283105023,146795,1.7861206140485693,False,True
A012,LUZIANIA,GO,CO,-16.27222222,-47.96638889,959.5,2006,2025,20,18,18,0.9960681937270754,162561,1.2986309587468912,False,True
A013,ARAGARCAS,GO,CO,-15.90583333,-52.24388888,347.0,2007,2025,19,12,12,0.9114155251141552,121851,0.378806325528851,False,True
A014,GOIAS,GO,CO,-15.93916666,-50.14138888,512.0,2007,2025,19,19,16,0.992579908675799,155698,0.062707128950565,False,True
A015,ITAPACI,GO,CO,-14.98027777,-49.53944444,522.0,2007,2025,19,16,14,0.9670091324200913,153648,0.08589140675070435,False,True
A016,JATAI,GO,CO,-17.92388888,-51.71777777,582.0,2007,2025,19,17,17,0.9907534246575342,156048,0.04429082373896629,False,True
A017,POSSE,GO,CO,-14.08916666,-46.36638888,834.0,2007,2025,19,17,14,0.9714147286821705,150702,0.01261736146170896,False,True
A018,PEIXE,TO,N,-12.01666666,-48.55,242.0,2006,2025,20,16,8,0.8791666666666667,140388,0.6236406923019483,False,True
A019,GURUPI,TO,N,-11.74583333,-49.04972221,287.0,2006,2025,20,16,16,0.9919634391296754,152045,0.2310790211970803,False,True
A020,PEDRO AFONSO,TO,N,-8.9686111,-48.19416666,189.0,2007,2025,19,15,13,0.9534246575342465,143430,1.861103786957858,False,True
A021,ARAGUAINA,TO,N,-7.10416666,-48.20111111,226.0,2007,2025,19,14,12,0.9526411657559198,134528,0.030887769387196735,False,True
A022,GOIANESIA,GO,CO,-15.22027777,-48.99027777,667.0,2007,2025,19,15,11,0.9375570776255707,142224,0.029804338919199796,False,True
A023,CAIAPONIA,GO,CO,-16.96666666,-51.81749999,737.0,2007,2025,19,16,15,0.9969178082191781,152295,0.030886657436453663,False,True
A024,ALTO PARAISO DE GOIAS,GO,CO,-14.13305554,-47.52305554,1260.0,2007,2025,19,17,15,0.9813296903460837,154509,0.02995283693384773,False,True
A025,RIO VERDE,GO,CO,-17.78583333,-50.98138888,782.0,2007,2025,19,16,14,0.9611872146118722,140771,1.750129615303654,False,True
A026,MINEIROS,GO,CO,-17.45472222,-52.60111111,862.0,2007,2025,19,12,10,0.930365296803653,130052,0.0,False,True
A027,PARAUNA,GO,CO,-16.94583333,-50.42527777,678.0,2008,2025,18,15,13,0.997035706265439,143430,1.8573450710344608,False,True
A028,IPORA,GO,CO,-16.42305554,-51.148801,610.41,2013,2025,13,10,10,0.9627853881278539,93555,0.07950846890462229,False,True
A029,EDEIA,GO,CO,-17.33694444,-49.91472222,608.0,2017,2025,9,6,6,0.9480593607305936,61268,0.0,False,True
A031,SAO MIGUEL DO ARAGUAIA,GO,CO,-12.82055554,-50.33583333,210.0,2017,2025,9,5,5,0.9353881278538813,58553,0.6392198635609405,False,True
A032,MONTE ALEGRE DE GOIAS,GO,CO,-13.24805555,-46.88972221,1253.0,2007,2025,19,17,12,0.9569310897435898,149840,0.6206705563925294,False,True
A033,PIRES DO RIO,GO,CO,-17.30416666,-48.28416666,752.0,2007,2025,19,19,15,0.9978310502283105,154155,0.0,False,True
A034,CATALAO,GO,CO,-18.15777777,-47.92638888,890.0,2008,2025,18,18,16,0.9987461636350026,152746,0.35947280608481247,False,True
A035,ITUMBIARA,GO,CO,-18.40972222,-49.19194444,488.0,2007,2025,19,17,15,0.9714611872146118,148871,0.013031704236339928,False,True
A036,CRISTALINA,GO,CO,-16.78805555,-47.61166666,1202.0,2007,2025,19,19,18,0.9986301369863013,157463,0.377576036468232,False,True
A037,SILVANIA,GO,CO,-16.67694443,-48.61805554,949.0,2010,2025,16,16,16,0.9978881278538814,131958,0.31620786095732517,False,True
A038,DIANOPOLIS,TO,N,-11.59416666,-46.84722221,732.0,2008,2025,18,16,13,0.9701737185152453,132550,0.031316698391123214,False,True
A039,FORMOSO DO ARAGUAIA,TO,N,-11.98722221,-49.60833333,220.0,2008,2025,18,15,13,0.9577533560396236,141971,11.102303600135693,True,True
A040,MATEIROS,TO,N,-10.432220495,-45.920970495,794.5,2012,2025,14,10,9,0.9491438356164383,93527,0.2692522674942745,False,True
