codigo,estacao,uf,regiao,anos_elegiveis,anos_cobertura_80,primeiro_ano_80,ultimo_ano_80,amplitude_periodo_anos,deslocamento_max_coord_km,coordenada_estavel_5km,candidata_tendencia_10a,candidata_tendencia_15a
A001,BRASILIA,DF,CO,26,26,2000.0,2025.0,26,0.0139884202775015,True,True,True
A002,GOIANIA,GO,CO,25,24,2001.0,2024.0,24,0.0295938501110867,True,True,True
A003,MORRINHOS,GO,CO,24,19,2001.0,2025.0,25,3.162982582999043,True,True,True
A005,PORANGATU,GO,CO,8,5,2018.0,2025.0,8,24.414217027042948,False,False,False
A009,PALMAS,TO,N,22,20,2004.0,2023.0,20,4.257973878614599,True,True,True
A010,PARANA,TO,N,21,18,2005.0,2025.0,21,0.0122645285149314,True,True,True
A011,SAO SIMAO,GO,CO,20,17,2006.0,2025.0,20,1.7861206140485693,True,True,True
A012,LUZIANIA,GO,CO,20,18,2006.0,2025.0,20,1.2986309587468912,True,True,True
A013,ARAGARCAS,GO,CO,19,12,2007.0,2020.0,14,0.378806325528851,True,True,False
A014,GOIAS,GO,CO,19,19,2007.0,2025.0,19,0.062707128950565,True,True,True
A015,ITAPACI,GO,CO,19,16,2007.0,2025.0,19,0.0858914067507043,True,True,True
A016,JATAI,GO,CO,19,17,2007.0,2025.0,19,0.0442908237389662,True,True,True
A017,POSSE,GO,CO,19,17,2007.0,2025.0,19,0.0126173614617089,True,True,True
A018,PEIXE,TO,N,20,16,2006.0,2024.0,19,0.6236406923019483,True,True,True
A019,GURUPI,TO,N,19,16,2007.0,2024.0,18,0.2310790211970803,True,True,True
A020,PEDRO AFONSO,TO,N,19,15,2008.0,2024.0,17,1.861103786957858,True,True,True
A021,ARAGUAINA,TO,N,19,14,2007.0,2025.0,19,0.0308877693871967,True,True,False
A022,GOIANESIA,GO,CO,19,15,2008.0,2025.0,18,0.0298043389191997,True,True,True
A023,CAIAPONIA,GO,CO,19,16,2007.0,2025.0,19,0.0308866574364536,True,True,True
A024,ALTO PARAISO DE GOIAS,GO,CO,19,17,2007.0,2024.0,18,0.0299528369338477,True,True,True
A025,RIO VERDE,GO,CO,19,16,2007.0,2025.0,19,1.750129615303654,True,True,True
A026,MINEIROS,GO,CO,19,12,2007.0,2023.0,17,0.0,True,True,False
A027,PARAUNA,GO,CO,18,15,2008.0,2025.0,18,1.8573450710344608,True,True,True
A028,IPORA,GO,CO,13,10,2013.0,2025.0,13,0.0795084689046222,True,True,False
A029,EDEIA,GO,CO,9,6,2017.0,2024.0,8,0.0,True,False,False
A031,SAO MIGUEL DO ARAGUAIA,GO,CO,9,5,2017.0,2025.0,9,0.6392198635609405,True,False,False
A032,MONTE ALEGRE DE GOIAS,GO,CO,19,17,2007.0,2023.0,17,0.6206705563925294,True,True,True
A033,PIRES DO RIO,GO,CO,19,19,2007.0,2025.0,19,0.0,True,True,True
A034,CATALAO,GO,CO,18,18,2008.0,2025.0,18,0.3594728060848124,True,True,True
A035,ITUMBIARA,GO,CO,19,17,2007.0,2025.0,19,0.0130317042363399,True,True,True
A036,CRISTALINA,GO,CO,19,19,2007.0,2025.0,19,0.377576036468232,True,True,True
A037,SILVANIA,GO,CO,16,16,2010.0,2025.0,16,0.3162078609573251,True,True,True
A038,DIANOPOLIS,TO,N,18,16,2008.0,2024.0,17,0.0313166983911232,True,True,True
A039,FORMOSO DO ARAGUAIA,TO,N,18,15,2008.0,2025.0,18,11.102303600135691,False,False,False
A040,MATEIROS,TO,N,13,10,2013.0,2025.0,13,0.2692522674942745,True,True,False
A041,MARIANOPOLIS DO TO,TO,N,14,11,2012.0,2025.0,14,0.0154505563984988,True,True,False
A042,BRAZLANDIA,DF,CO,9,9,2017.0,2025.0,9,0.0,True,False,False
A043,CAMPOS LINDOS,TO,N,11,7,2012.0,2019.0,8,0.0152877259209112,True,False,False
A044,ARAGUATINS,TO,N,16,11,2009.0,2025.0,17,0.0307380512960297,True,True,False
A045,AGUAS EMENDADAS,DF,CO,18,18,2008.0,2025.0,18,0.0118711195053935,True,True,True
A046,GAMA (PONTE ALTA),DF,CO,12,12,2014.0,2025.0,12,0.0,True,True,False
A047,PARANOA (COOPA-DF),DF,CO,9,9,2017.0,2025.0,9,0.1238436398013669,True,False,False
A048,SANTA FE DO ARAGUAIA,TO,N,10,8,2016.0,2025.0,10,0.0137174755451055,True,False,False
A049,COLINAS DO TOCANTINS,TO,N,7,5,2016.0,2023.0,8,0.0077870903720803,True,False,False
A050,RIO SONO,TO,N,10,6,2017.0,2025.0,9,70.42684978085688,False,False,False
A051,PIUM,TO,N,9,6,2016.0,2023.0,8,0.0033429040829124,True,False,False
A052,SANTA ROSA DO TOCANTINS,TO,N,11,9,2015.0,2025.0,11,42.53216134810872,False,False,False
A053,ALMAS,TO,N,10,6,2016.0,2025.0,10,0.0130643720014942,True,False,False
A054,ARAGUACU,TO,N,11,7,2015.0,2025.0,11,0.0138092700228602,True,False,False
A055,LAGOA DA CONFUSAO,TO,N,10,7,2016.0,2025.0,10,2.218667946790798,True,False,False
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,CO,8,8,2018.0,2025.0,8,0.0,True,False,False
A101,MANAUS,AM,N,26,19,2000.0,2025.0,26,0.0975457325471828,True,True,True
A102,PARQUE ESTADUAL CHANDLESS,AC,N,15,7,2009.0,2022.0,14,0.1301750780715527,True,False,False
A104,RIO BRANCO,AC,N,17,9,2008.0,2025.0,18,32.420128059047016,False,False,False
A108,CRUZEIRO DO SUL,AC,N,9,4,2015.0,2019.0,5,30.431744607080052,False,False,False
A109,EIRUNEPE,AM,N,8,5,2012.0,2019.0,8,0.0921000189119945,True,False,False
A110,BOCA DO ACRE,AM,N,17,12,2008.0,2025.0,18,0.0398347069793726,True,True,False
A111,LABREA,AM,N,18,12,2008.0,2023.0,16,19.42825127148091,False,False,False
A112,HUMAITA,AM,N,17,9,2008.0,2025.0,18,41.54000263606823,False,False,False
A113,APUI,AM,N,16,7,2010.0,2016.0,7,1.0900338081180636,True,False,False
A117,COARI,AM,N,18,9,2008.0,2019.0,12,0.0052567935706246,True,False,False
A119,MANACAPURU,AM,N,18,16,2008.0,2025.0,18,0.0,True,True,True
A120,AUTAZES,AM,N,17,11,2008.0,2023.0,16,196.80555734772392,False,False,False
A121,ITACOATIARA,AM,N,18,15,2008.0,2025.0,18,0.0308888813380724,True,True,True
A122,MAUES,AM,N,14,8,2008.0,2017.0,10,0.0308334371160554,True,False,False
A123,PARINTINS,AM,N,18,12,2008.0,2024.0,17,0.2246539101763975,True,True,False
A124,URUCARA,AM,N,17,13,2008.0,2024.0,17,40.21556622353534,False,False,False
A125,RIO URUBU,AM,N,17,14,2008.0,2024.0,17,39.297111671976424,False,False,False
A126,PRESIDENTE FIGUEIREDO,AM,N,16,10,2008.0,2019.0,12,4.075535906259142,True,True,False
A128,BARCELOS,AM,N,17,11,2008.0,2025.0,18,3.763365764350155,True,True,False
A133,MANICORE,AM,N,13,10,2011.0,2024.0,14,2.472599196047748,True,True,False
A134,S. G. DA CACHOEIRA,AM,N,15,11,2011.0,2024.0,14,0.0308877693872713,True,True,False
A135,BOA VISTA,RR,N,16,10,2010.0,2019.0,10,0.0054488614402448,True,True,False
A136,PORTO WALTER,AC,N,12,7,2009.0,2018.0,10,0.0308877693871967,True,False,False
A137,MARECHAL THAUMATURGO,AC,N,13,4,2009.0,2015.0,7,0.0,True,False,False
A138,FEIJO,AC,N,16,11,2009.0,2025.0,17,27.786763272644155,False,False,False
A140,EPITACIOLANDIA,AC,N,15,13,2009.0,2025.0,17,0.0432807696256658,True,True,False
A144,NOVO ARIPUANA,AM,N,7,4,2019.0,2025.0,7,0.0,True,False,False
A201,BELEM,PA,N,23,18,2008.0,2025.0,18,0.1683185732488342,True,True,True
A202,CASTANHAL,PA,N,23,15,2003.0,2025.0,23,1.914533704378214,True,True,True
A203,SAO LUIS,MA,NE,23,20,2003.0,2025.0,23,0.0690129366816504,True,True,True
A204,BALSAS,MA,NE,18,12,2007.0,2023.0,17,0.0371788514863071,True,True,False
A205,CAROLINA,MA,NE,19,14,2007.0,2025.0,19,0.0138902409301475,True,True,False
A206,CHAPADINHA,MA,NE,17,13,2008.0,2025.0,18,0.0308218907014441,True,True,False
A207,GRAJAU,MA,NE,18,13,2008.0,2024.0,17,1.0076288044647568,True,True,False
A209,MEDICILANDIA,PA,N,18,11,2008.0,2023.0,16,0.0308298003866075,True,True,False
A210,PACAJA,PA,N,17,7,2008.0,2025.0,18,0.0,True,False,False
A211,PLACAS,PA,N,17,12,2008.0,2024.0,17,3.802155121006431,True,True,False
A212,PARAGOMINAS,PA,N,19,14,2007.0,2024.0,18,20.821912943512057,False,False,False
A213,TOME ACU,PA,N,18,13,2008.0,2025.0,18,1.075315568134532,True,True,False
A214,RONDON DO PARA,PA,N,18,13,2008.0,2024.0,17,0.0307781975584113,True,True,False
A215,SALINOPOLIS,PA,N,18,12,2008.0,2024.0,17,0.0313457064140775,True,True,False
A216,SAO FELIX DO XINGU,PA,N,9,4,2016.0,2025.0,10,0.0113944650003204,True,False,False
A217,FAROL de SANTANA,MA,NE,12,8,2008.0,2018.0,11,0.0308635130645547,True,False,False
A218,PREGUICAS,MA,NE,17,12,2008.0,2024.0,17,0.0436595562651705,True,True,False
A219,TURIACU,MA,NE,17,14,2008.0,2025.0,18,0.0690603515377186,True,True,False
A220,BACABAL,MA,NE,18,13,2008.0,2025.0,18,0.0007767366888395,True,True,False
A221,BARRA DO CORDA,MA,NE,17,12,2008.0,2020.0,13,0.0,True,True,False
A222,COLINAS,MA,NE,18,14,2008.0,2024.0,17,0.0308888813379398,True,True,False
A223,ALTO PARNAIBA,MA,NE,18,14,2008.0,2024.0,17,0.0308877693873735,True,True,False
A224,ESTREITO,MA,NE,18,14,2008.0,2025.0,18,0.0,True,True,False
A225,IMPERATRIZ,MA,NE,18,15,2008.0,2023.0,16,0.0308877693871967,True,True,True
A226,BRAGANCA,PA,N,18,15,2008.0,2025.0,18,1.1737263411098746,True,True,True
A227,SOURE,PA,N,15,12,2008.0,2024.0,17,9.26625742742828,False,False,False
A228,BREVES,PA,N,5,3,2017.0,2019.0,3,0.009742247453732,True,False,False
A229,TUCURUI,PA,N,18,14,2008.0,2024.0,17,0.0052654028948017,True,True,False
A230,SERRA DOS CARAJAS,PA,N,15,8,2008.0,2018.0,11,0.0093945041161385,True,False,False
A231,ITAITUBA,PA,N,17,10,2009.0,2025.0,17,0.0617744268238272,True,True,False
A232,OBIDOS,PA,N,14,10,2012.0,2024.0,13,404.5297895094936,False,False,False
A233,SANTANA DO ARAGUAIA,PA,N,18,10,2008.0,2024.0,17,0.2162132737601645,True,True,False
A234,TUCUMA,PA,N,11,6,2017.0,2025.0,9,0.0572966500797983,True,False,False
A235,NOVO REPARTIMENTO,PA,N,17,12,2008.0,2021.0,14,1.1289019568887826,True,True,False
A236,CAMETA,PA,N,13,10,2008.0,2019.0,12,1.2483091948204317,True,True,False
A237,CAXIAS,MA,NE,17,11,2008.0,2024.0,17,0.0067071338215735,True,True,False
A238,BURITICUPU,MA,NE,17,13,2008.0,2025.0,18,0.0307988828012542,True,True,False
A239,MONTE ALEGRE,PA,N,13,6,2012.0,2025.0,14,0.041322334827939,True,False,False
A240,MARABA,PA,N,13,10,2009.0,2019.0,11,42.542963765158675,False,False,False
A241,CONCEICAO DO ARAGUAIA,PA,N,18,14,2008.0,2024.0,17,5.032019076110311,False,False,False
A242,OIAPOQUE,AP,N,16,9,2008.0,2025.0,18,0.0031256937053525,True,False,False
A244,PORTO GRANDE,AP,N,7,4,2020.0,2025.0,6,0.0436802988224529,True,False,False
A245,PORTO DE MOZ,PA,N,4,4,2022.0,2025.0,4,0.0,True,False,False
A246,MINA DO PALITO,PA,N,12,5,2012.0,2016.0,5,0.0728777337528381,True,False,False
A247,XINGUARA,PA,N,10,6,2016.0,2024.0,9,0.0375117779980484,True,False,False
A248,CAPITAO POCO,PA,N,15,8,2011.0,2020.0,10,0.0048692325634375,True,False,False
A249,MACAPA,AP,N,13,7,2014.0,2025.0,12,0.0332692584673843,True,False,False
A250,SANTAREM,PA,N,10,7,2015.0,2024.0,10,0.0228806116596361,True,False,False
A251,ITAUBAL,AP,N,6,1,2017.0,2017.0,1,0.0110946195766173,True,False,False
A252,DOM ELISEU,PA,N,8,7,2018.0,2025.0,8,0.0092168951446254,True,False,False
A253,ALTAMIRA,PA,N,7,5,2018.0,2025.0,8,0.0308877693872409,True,False,False
A254,REDENCAO,PA,N,7,6,2019.0,2025.0,7,0.0,True,False,False
A255,ZE DOCA,MA,NE,7,5,2019.0,2025.0,7,0.0,True,False,False
A256,SANTA MARIA DAS BARREIRAS,PA,N,5,3,2021.0,2025.0,5,0.0,True,False,False
A301,RECIFE,PE,NE,18,16,2004.0,2021.0,18,0.0305827163166764,True,True,True
