ano,codigo,estacao,regiao,uf,latitude,longitude,altitude_m,data_fundacao,arquivo_origem,linhas_total,datetime_validos,temperaturas_validas,duplicados_datetime,primeiro_datetime_utc,ultimo_datetime_utc
2000,A001,BRASILIA,CO,DF,-15.78944444,-47.92583332,1159.54,2000-05-07,2000/INMET_CO_DF_A001_BRASILIA_07-05-2000_A_31-12-2000.CSV,5736,5736,5174,0,2000-05-07T00:00:00,2000-12-31T23:00:00
2000,A401,SALVADOR,NE,BA,-13.01666666,-38.51666666,51.41,2000-05-13,2000/INMET_NE_BA_A401_SALVADOR_13-05-2000_A_31-12-2000.CSV,5592,5592,2093,0,2000-05-13T00:00:00,2000-12-31T23:00:00
2000,A101,MANAUS,N,AM,-3.10333333,-60.01638888,61.25,2000-05-09,2000/INMET_N_AM_A101_MANAUS_09-05-2000_A_31-12-2000.CSV,5688,5688,5011,0,2000-05-09T00:00:00,2000-12-31T23:00:00
2000,A601,ECOLOGIA AGRICOLA,SE,RJ,-22.8,-43.68333333,33.0,2000-05-07,2000/INMET_SE_RJ_A601_ECOLOGIA AGRICOLA_07-05-2000_A_31-12-2000.CSV,5736,5736,5066,0,2000-05-07T00:00:00,2000-12-31T23:00:00
2000,A801,PORTO ALEGRE,S,RS,-30.05,-51.16666666,46.97,2000-09-22,2000/INMET_S_RS_A801_PORTO ALEGRE_22-09-2000_A_31-12-2000.CSV,2424,2424,2378,0,2000-09-22T00:00:00,2000-12-31T23:00:00
2001,A001,BRASILIA,CO,DF,-15.78944444,-47.92583332,1159.54,2000-05-07,2001/INMET_CO_DF_A001_BRASILIA_01-01-2001_A_31-12-2001.CSV,8760,8760,7956,0,2001-01-01T00:00:00,2001-12-31T23:00:00
2001,A002,GOIANIA,CO,GO,-16.64277777,-49.21999999,770.0,2001-05-29,2001/INMET_CO_GO_A002_GOIANIA_29-05-2001_A_31-12-2001.CSV,5208,5208,4486,0,2001-05-29T00:00:00,2001-12-31T23:00:00
2001,A003,MORRINHOS,CO,GO,-17.71666667,-49.1,771.42,2001-05-25,2001/INMET_CO_GO_A003_MORRINHOS_25-05-2001_A_31-12-2001.CSV,5304,5304,4617,0,2001-05-25T00:00:00,2001-12-31T23:00:00
2001,A702,CAMPO GRANDE,CO,MS,-20.45,-54.6,530.0,2001-09-10,2001/INMET_CO_MS_A702_CAMPO GRANDE_10-09-2001_A_31-12-2001.CSV,2712,2712,2639,0,2001-09-10T00:00:00,2001-12-31T23:00:00
2001,A703,PONTA PORA,CO,MS,-22.5525,-55.71638888,675.0,2001-09-07,2001/INMET_CO_MS_A703_PONTA PORA_07-09-2001_A_31-12-2001.CSV,2784,2784,2666,0,2001-09-07T00:00:00,2001-12-31T23:00:00
2001,A704,TRES LAGOAS,CO,MS,-20.78999999,-51.71222222,313.0,2001-09-03,2001/INMET_CO_MS_A704_TRES LAGOAS_03-09-2001_A_31-12-2001.CSV,2880,2880,2813,0,2001-09-03T00:00:00,2001-12-31T23:00:00
2001,A401,SALVADOR,NE,BA,-13.01666666,-38.51666666,51.41,2000-05-13,2001/INMET_NE_BA_A401_SALVADOR_01-01-2001_A_31-12-2001.CSV,8760,8760,8489,0,2001-01-01T00:00:00,2001-12-31T23:00:00
2001,A402,BARREIRAS,NE,BA,-12.15,-45.01666666,470.37,2001-12-20,2001/INMET_NE_BA_A402_BARREIRAS_20-12-2001_A_31-12-2001.CSV,288,288,142,0,2001-12-20T00:00:00,2001-12-31T23:00:00
2001,A101,MANAUS,N,AM,-3.10333333,-60.01638888,61.25,2000-05-09,2001/INMET_N_AM_A101_MANAUS_01-01-2001_A_31-12-2001.CSV,8760,8760,6450,0,2001-01-01T00:00:00,2001-12-31T23:00:00
2001,A601,ECOLOGIA AGRICOLA,SE,RJ,-22.8,-43.68333333,33.0,2000-05-07,2001/INMET_SE_RJ_A601_ECOLOGIA AGRICOLA_01-01-2001_A_31-12-2001.CSV,8760,8760,6798,0,2001-01-01T00:00:00,2001-12-31T23:00:00
2001,A705,BAURU,SE,SP,-22.35805555,-49.02888888,666.0,2001-08-30,2001/INMET_SE_SP_A705_BAURU_30-08-2001_A_31-12-2001.CSV,2976,2976,2924,0,2001-08-30T00:00:00,2001-12-31T23:00:00
2001,A801,PORTO ALEGRE,S,RS,-30.05,-51.16666666,46.97,2000-09-22,2001/INMET_S_RS_A801_PORTO ALEGRE_01-01-2001_A_31-12-2001.CSV,8760,8760,7546,0,2001-01-01T00:00:00,2001-12-31T23:00:00
2001,A802,RIO GRANDE,S,RS,-32.03333333,-52.1,2.46,2001-11-16,2001/INMET_S_RS_A802_RIO GRANDE_16-11-2001_A_31-12-2001.CSV,1104,1104,982,0,2001-11-16T00:00:00,2001-12-31T23:00:00
2001,A803,SANTA MARIA,S,RS,-29.70833333,-53.70361111,95.0,2001-11-26,2001/INMET_S_RS_A803_SANTA MARIA_26-11-2001_A_31-12-2001.CSV,864,864,842,0,2001-11-26T00:00:00,2001-12-31T23:00:00
2001,A804,SANTANA DO LIVRAMENTO,S,RS,-30.84249999,-55.61277777,196.0,2001-11-22,2001/INMET_S_RS_A804_SANTANA DO LIVRAMENTO_22-11-2001_A_31-12-2001.CSV,960,960,833,0,2001-11-22T00:00:00,2001-12-31T23:00:00
2001,A805,SANTO AUGUSTO,S,RS,-27.85416666,-53.7911111,490.0,2001-12-05,2001/INMET_S_RS_A805_SANTO AUGUSTO_05-12-2001_A_31-12-2001.CSV,648,648,624,0,2001-12-05T00:00:00,2001-12-31T23:00:00
2002,A001,BRASILIA,CO,DF,-15.78944444,-47.92583332,1159.54,2000-05-07,2002/INMET_CO_DF_A001_BRASILIA_01-01-2002_A_31-12-2002.CSV,8760,8760,8014,0,2002-01-01T00:00:00,2002-12-31T23:00:00
