rede,codigo,estacao,uf,regiao,mk_p_delta_tmax,mk_p_tmax_era5,mk_p_tmax_inmet,mk_p_fdr_delta_tmax,mk_p_fdr_tmax_era5,mk_p_fdr_tmax_inmet,mk_tau_delta_tmax,mk_tau_tmax_era5,mk_tau_tmax_inmet,n_anos_delta_tmax,n_anos_tmax_era5,n_anos_tmax_inmet,sen_slope_c_ano_delta_tmax,sen_slope_c_ano_tmax_era5,sen_slope_c_ano_tmax_inmet,sen_slope_c_decada_delta_tmax,sen_slope_c_decada_tmax_era5,sen_slope_c_decada_tmax_inmet,significativo_fdr05_delta_tmax,significativo_fdr05_tmax_era5,significativo_fdr05_tmax_inmet,diferenca_sen_era5_menos_inmet_c_decada,mesmo_sinal_sen_inmet_era5,ambos_significativos_fdr
principal_15a,A001,BRASILIA,DF,Centro-Oeste,0.22996907772364034,0.20575410127305518,0.017623507832862633,0.5564718561394973,0.4066525102557865,0.11329397892554549,-0.2,0.21052631578947367,0.3894736842105263,20,20,20,-0.0257568359375,0.06726310229060625,0.1031250556310018,-0.257568359375,0.6726310229060626,1.031250556310018,False,False,False,-0.35861953340395547,True,False
principal_15a,A002,GOIANIA,GO,Centro-Oeste,0.018853377367019176,0.15005063655725911,0.03040833780507227,0.17116127753616073,0.3553830865829821,0.12439774556620474,-0.4117647058823529,0.2549019607843137,0.3790849673202614,18,18,18,-0.10189125754616478,0.0841796875,0.16923082791841948,-1.0189125754616477,0.841796875,1.6923082791841948,False,False,False,-0.8505114041841948,True,False
principal_15a,A003,MORRINHOS,GO,Centro-Oeste,0.0528715926149876,0.4994612031040145,0.13654955508657116,0.264357963074938,0.6243265038800181,0.2928883658296221,-0.36666666666666664,0.13333333333333333,0.2833333333333333,16,16,16,-0.06362197449157289,0.042510986328125,0.10000011656019422,-0.636219744915729,0.42510986328125,1.0000011656019423,False,False,False,-0.5748913023206923,True,False
principal_15a,A012,LUZIANIA,GO,Centro-Oeste,0.6921807727218765,0.7665252995235718,0.48627925196705,0.8899467077852699,0.8021776390362961,0.621775019979958,0.08571428571428572,0.06666666666666667,0.14285714285714285,15,15,15,0.01755205790201823,0.025065104166666668,0.046666717529296874,0.1755205790201823,0.2506510416666667,0.46666717529296875,False,False,False,-0.21601613362630206,True,False
principal_15a,A036,CRISTALINA,GO,Centro-Oeste,0.06904431984775122,0.28888280402716393,0.010981554725508307,0.30610066542171016,0.4482664200421509,0.09841517649781828,-0.3202614379084967,0.1895424836601307,0.4444444444444444,18,18,18,-0.05782737731933594,0.05837673611111111,0.13333333333333333,-0.5782737731933594,0.5837673611111112,1.3333333333333333,False,False,False,-0.7495659722222221,True,False
principal_15a,A045,AGUAS EMENDADAS,DF,Centro-Oeste,0.015083622594694817,0.14937517875498973,0.008179529633231984,0.17116127753616073,0.3553830865829821,0.09841517649781828,-0.4411764705882353,0.2647058823529412,0.47794117647058826,17,17,17,-0.07740473747253418,0.11142985026041666,0.16547616322835285,-0.7740473747253418,1.1142985026041665,1.6547616322835283,False,False,False,-0.5404631296793618,True,False
principal_15a,A101,MANAUS,AM,Norte,0.0528715926149876,0.007899662130493713,0.8215356536608815,0.264357963074938,0.08887119896805427,0.8597466142962713,0.36666666666666664,0.5,0.05,16,16,16,0.13182566716120792,0.16987173897879465,0.01714259556361607,1.3182566716120792,1.6987173897879466,0.1714259556361607,False,False,False,1.527291434151786,True,False
principal_15a,A303,MACEIO,AL,Nordeste,0.09245959511086127,0.3730531162514527,0.19711005177131616,0.3467234816657298,0.5087087948883445,0.3547980931883691,0.3333333333333333,0.18095238095238095,-0.2571428571428571,15,15,15,0.08995225694444445,0.032063802083333336,-0.07333323160807291,0.8995225694444444,0.32063802083333337,-0.7333323160807291,False,False,False,1.0539703369140625,False,False
principal_15a,A310,AREIA,PB,Nordeste,0.6206907170753548,0.5526151250628485,0.803863757670262,0.8728463208872177,0.6442510492799831,0.8597466142962713,0.10476190476190476,0.12380952380952381,0.05714285714285714,15,15,15,0.010659731351412259,0.010367838541666667,0.015384674072265625,0.10659731351412259,0.10367838541666667,0.15384674072265625,False,False,False,-0.05016835530598958,True,False
principal_15a,A401,SALVADOR,BA,Nordeste,0.2762784158080179,0.6921807727218765,0.45624182590897855,0.5651149414254911,0.7416222564877248,0.6053157011164161,0.21904761904761905,0.08571428571428572,-0.1523809523809524,15,15,15,0.0499267578125,0.019566127232142856,-0.03333409627278646,0.499267578125,0.19566127232142855,-0.3333409627278646,False,False,False,0.5290022350492931,False,False
principal_15a,A408,ITABERABA,BA,Nordeste,0.19167059142275544,0.8218916912511594,0.3214411113021264,0.5564718561394973,0.8405710478705039,0.483449393807879,-0.25,0.05,0.19166666666666668,16,16,16,-0.05425665928767277,0.02535400390625,0.06515146505953086,-0.5425665928767277,0.2535400390625,0.6515146505953086,False,False,False,-0.39797461153280855,True,False
principal_15a,A502,BARBACENA,MG,Sudeste,0.6921807727218765,0.11328720822235328,0.16481858981177677,0.8899467077852699,0.32364744699706693,0.3224711539795633,0.08571428571428572,0.3142857142857143,0.2761904761904762,15,15,15,0.019208908081054688,0.10504150390625,0.09090926430442116,0.19208908081054688,1.0504150390625,0.9090926430442116,False,False,False,0.14132239601828844,True,False
principal_15a,A505,ARAXA,MG,Sudeste,0.34341948718274173,0.005781798478456614,0.0073166900360846915,0.6199515413623299,0.0867269771768492,0.09841517649781828,0.17647058823529413,0.5,0.4852941176470588,17,17,17,0.02180061340332031,0.1596294545872326,0.15555572509765625,0.21800613403320312,1.5962945458723259,1.5555572509765625,False,False,False,0.04073729489576339,True,False
