ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,flag_desempenho,amostra_suficiente,categoria_diagnostico,ano_anterior,ano_posterior,grid_index_anterior,grid_index_posterior,latitude_inmet_anterior,latitude_inmet_posterior,longitude_inmet_anterior,longitude_inmet_posterior,altitude_inmet_m_anterior,altitude_inmet_m_posterior,bias_c_anterior,bias_c_posterior,rmse_c_anterior,rmse_c_posterior,correlacao_pearson_anterior,correlacao_pearson_posterior,anterior_consecutivo,posterior_consecutivo,mudou_celula_vs_anterior,mudou_celula_vs_posterior,mudanca_coord_vs_anterior_km,mudanca_altitude_vs_anterior_m,delta_bias_vs_anterior,delta_rmse_vs_anterior,delta_correlacao_vs_anterior
2007,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9980269266480966,8599,358.2916666666667,28.808186985223927,27.961001571520413,-0.8471854272699646,1.2294205629896848,1.4689751810960192,0.9605431602973707,1.200138506377418,-5.971386432647705,-2.5122604370117188,-1.0248348712921143,1.2967629075050349,7.338525772094727,7.338525772094727,0.0,0.0,0.0,0.0,19.100000381469727,39.20000076293945,19.509851455688477,37.563377380371094,8599,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,0.15382224217255858,-0.15849953138267825,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,,2008.0,,8198.0,,-6.45972222,,-37.08888888,,169.85,,-1.224106403361249,,1.6959553234959188,,0.9617205577694361,False,True,False,False,,,,,
2008,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9995446265938068,8780,365.8333333333333,28.438656030754835,27.214549633147776,-1.224106403361249,1.4213465790449507,1.6959553234959188,0.9617205577694361,1.1738760234516152,-7.73989200592041,-3.0260251522064205,-1.2753902077674866,0.6288238435983644,6.930371284484863,7.73989200592041,0.0,0.0,0.0,0.0,19.399999618530273,38.70000076293945,18.10740089416504,37.192527770996094,8780,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.2230987339187258,0.06848061101722136,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2007.0,2009.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-0.8471854272699646,-0.8925607398761105,1.4689751810960192,1.4912371918887204,0.9605431602973707,0.9580072812424392,True,True,False,False,0.0,0.0,-0.3769209760912844,0.2269801423998996,0.0011773974720653557
2009,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9973744292237444,8737,364.0416666666667,28.283667164999354,27.391106422915943,-0.8925607398761105,1.2201998858747563,1.4912371918887204,0.9580072812424392,1.1946911941300777,-7.02431583404541,-2.541005897521973,-1.0287106037139893,1.0747513294219968,7.708496570587158,7.708496570587158,0.0,0.0,0.0,0.0,19.200000762939453,38.70000076293945,19.600412368774414,37.042625427246094,8737,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,0.10844692956641266,-0.13623752058997707,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2008.0,2010.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-1.224106403361249,-0.5443949312453913,1.6959553234959188,1.498978615188414,0.9617205577694361,0.9443989381884277,True,True,False,False,0.0,0.0,0.3315456634851385,-0.20471813160719843,-0.0037132765269969337
2010,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9608447488584476,8417,350.7083333333333,28.912771765659183,28.368376839850654,-0.5443949312453913,1.201760064944936,1.498978615188414,0.9443989381884277,1.3967114293940632,-6.574316024780273,-2.490087556838989,-0.6930660009384155,1.8626547098159787,9.559959411621094,9.559959411621094,0.0,0.0,0.0,0.0,19.899999618530273,39.20000076293945,19.437646865844727,37.798728942871094,8417,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,0.4566127381971319,-0.12849609729028355,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2009.0,2011.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-0.8925607398761105,-1.0309318556502702,1.4912371918887204,1.5541000126559275,0.9580072812424392,0.9590918470934778,True,True,False,False,0.0,0.0,0.3481658086307192,0.007741423299693517,-0.013608343054011485
2011,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9990867579908675,8752,364.6666666666667,28.120829515526893,27.089897669211602,-1.0309318556502702,1.290720614886439,1.5541000126559275,0.9590918470934778,1.1629965182266044,-6.561132431030273,-2.7295660018920898,-1.118530809879303,0.9179804801940915,6.55893611907959,6.561132431030273,0.0,0.0,0.0,0.0,18.899999618530273,39.0,18.60637855529785,36.578514099121094,8752,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.02992418620774706,-0.07337469982277,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2010.0,2012.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-0.5443949312453913,-1.2402400434921326,1.498978615188414,1.6312653988999406,0.9443989381884277,0.9711472405881709,True,True,False,False,0.0,0.0,-0.48653692440487895,0.055121397467513544,0.01469290890505015
2012,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9996584699453552,8781,365.875,29.39262041813718,28.15238038647244,-1.2402400434921326,1.4086073298203754,1.6312653988999406,0.9711472405881709,1.0596977499722111,-6.734179496765137,-2.7940425872802734,-1.330929160118103,0.5852543115615845,5.824853897094727,6.734179496765137,0.0,0.0,0.0,0.0,20.399999618530273,39.20000076293945,18.831674575805664,37.352195739746094,8781,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.2392323740496094,0.003790686421243139,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2011.0,2013.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-1.0309318556502702,-0.8679328882417983,1.5541000126559275,1.5112298680121923,0.9590918470934778,0.9575921052024721,True,True,False,False,0.0,0.0,-0.20930818784186234,0.07716538624401315,0.01205539349469309
2013,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.9984018264840184,8746,364.4166666666667,29.440898692665126,28.57296580840869,-0.8679328882417983,1.2568163588465882,1.5112298680121923,0.9575921052024721,1.2372078365067414,-5.511327743530273,-2.5191401839256287,-1.050008237361908,1.342639535665512,11.48466682434082,11.48466682434082,1.0,0.01143379830779785,0.0,0.0,19.5,39.099998474121094,19.977930068969727,37.842674255371094,8746,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,0.1330747812007249,-0.11624484446650518,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2012.0,2014.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-1.2402400434921326,-1.1127908422127386,1.6312653988999406,6.80992064142707,0.9711472405881709,-0.30190411789246174,True,True,False,False,0.0,0.0,0.3723071552503343,-0.12003553088774832,-0.013555135385698858
2014,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.8421232876712329,7377,307.375,29.165433100767213,28.052642257843495,-1.1127908422127386,5.3980525179029835,6.80992064142707,-0.30190411789246174,6.718841796538082,-15.862646102905273,-12.705829620361328,-0.9070796966552734,9.529285430908203,12.052586555480957,15.862646102905273,1246.0,16.890334824454385,0.0,0.0,19.399999618530273,39.0,19.67632484436035,37.101951599121094,7377,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.11178317277021543,5.182445928948372,False,False,False,True,True,False,True,3,True,rmse_extremo|correlacao_baixa|salto_rmse_historico,True,True,anomalia_temporal,2013.0,2015.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-0.8679328882417983,-1.1600190359294038,1.5112298680121923,7.64033784681597,0.9575921052024721,-0.5634791548718737,True,True,False,False,0.0,0.0,-0.24485795397094035,5.298690773414878,-1.2594962230949338
2015,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.921461187214612,8072,336.3333333333333,29.35367939139027,28.19366034832889,-1.1600190359294038,6.5778242073213296,7.64033784681597,-0.5634791548718737,7.552230410906705,-17.00468635559082,-12.87680139541626,-1.1790279746055603,10.029451322555541,13.025144577026367,17.00468635559082,1804.0,22.348860257680872,0.0,0.0,20.0,39.400001525878906,19.709375381469727,38.125144958496094,8072,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.15901136648688063,6.012863134337272,False,False,False,True,True,False,True,3,True,rmse_extremo|correlacao_baixa|salto_rmse_historico,True,True,anomalia_temporal,2014.0,2016.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-1.1127908422127386,-1.0798291553955799,6.80992064142707,1.5981106661622917,-0.30190411789246174,0.9630128803482231,True,True,False,False,0.0,0.0,-0.0472281937166652,0.8304172053889003,-0.261575036979412
2016,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.7958788706739527,6991,291.2916666666667,29.581461872193046,28.501632724533334,-1.0798291553955799,1.3511205781722115,1.5981106661622917,0.9630128803482231,1.1781872751635134,-6.597118854522705,-2.6317135095596313,-1.2248408794403076,0.9058344066143036,10.222508430480957,10.222508430480957,1.0,0.014304105278214848,0.0,0.0,20.200000762939453,39.29999923706055,20.249216079711914,37.735740661621094,6991,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-0.07882148595305671,-0.029364046316405767,False,True,False,False,False,False,False,1,True,cobertura_baixa,False,True,sem_anomalia_desempenho,2015.0,2017.0,8198.0,8198.0,-6.45972222,-6.45972222,-37.08888888,-37.08888888,169.85,169.85,-1.1600190359294038,-1.0010076694425232,7.64033784681597,1.6274747124786975,-0.5634791548718737,0.9550570023906483,True,True,False,False,0.0,0.0,0.08018988053382392,-6.042227180653678,1.5264920352200968
