codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A402,2005,anomalia,-24,1026,16.856603622436523,17.28770637512207,0.3072165806925986
A402,2005,anomalia,-23,1028,16.84033966064453,17.27715301513672,0.29723851528984485
A402,2005,anomalia,-22,1028,16.823877334594727,17.28864097595215,0.2438509832504801
A402,2005,anomalia,-21,1026,16.775556564331055,17.276329040527344,0.16710850308508704
A402,2005,anomalia,-20,1029,16.759803771972656,17.30613136291504,0.06735185408425685
A402,2005,anomalia,-19,1031,16.764503479003906,17.360811233520508,-0.04085268961545422
A402,2005,anomalia,-18,1030,16.778995513916016,17.423686981201172,-0.145275713502439
A402,2005,anomalia,-17,1034,16.78215980529785,17.476930618286133,-0.24806726988597547
A402,2005,anomalia,-16,1035,16.7871036529541,17.52447509765625,-0.33808508664423365
A402,2005,anomalia,-15,1034,16.789398193359375,17.565261840820312,-0.4199307012311839
A402,2005,anomalia,-14,1040,16.844690322875977,17.651901245117188,-0.48155721374306587
A402,2005,anomalia,-13,1044,16.86724281311035,17.69441032409668,-0.5238421330466339
A402,2005,anomalia,-12,1044,16.888957977294922,17.722959518432617,-0.5401368898174546
A402,2005,anomalia,-11,1047,16.914920806884766,17.74810791015625,-0.5294857537060746
A402,2005,anomalia,-10,1050,16.939565658569336,17.75806427001953,-0.49523512384403734
A402,2005,anomalia,-9,1056,16.9520320892334,17.743690490722656,-0.4398741144986613
A402,2005,anomalia,-8,1057,16.939083099365234,17.69871711730957,-0.3695730336264872
A402,2005,anomalia,-7,1060,16.949216842651367,17.661643981933594,-0.27449513650651636
A402,2005,anomalia,-6,1062,16.901546478271484,17.57717514038086,-0.18275989129667888
A402,2005,anomalia,-5,1067,16.869943618774414,17.5025691986084,-0.0795397539980622
A402,2005,anomalia,-4,1077,16.845279693603516,17.433948516845703,0.018882646563200357
A402,2005,anomalia,-3,1077,16.79949378967285,17.34765625,0.10856120720948104
A402,2005,anomalia,-2,1079,16.789981842041016,17.299537658691406,0.18565502035919887
A402,2005,anomalia,-1,1083,16.73638343811035,17.219968795776367,0.23631529378454968
A402,2005,anomalia,0,1153,16.729705810546875,17.197359085083008,0.28173249836937503
A402,2005,anomalia,1,1083,16.674022674560547,17.15985679626465,0.246922966888483
A402,2005,anomalia,2,1079,16.65399932861328,17.16933822631836,0.20375632593678217
A402,2005,anomalia,3,1077,16.604904174804688,17.15509796142578,0.13673986809152586
A402,2005,anomalia,4,1077,16.612667083740234,17.209054946899414,0.049442931791865215
A402,2005,anomalia,5,1067,16.596315383911133,17.24034309387207,-0.04384220197656084
A402,2005,anomalia,6,1062,16.603717803955078,17.296268463134766,-0.139861244671661
A402,2005,anomalia,7,1060,16.59673500061035,17.3332576751709,-0.23280145558140788
A402,2005,anomalia,8,1057,16.616363525390625,17.393463134765625,-0.31612028530059716
A402,2005,anomalia,9,1056,16.645004272460938,17.45329475402832,-0.38820989651182697
A402,2005,anomalia,10,1050,16.662832260131836,17.501697540283203,-0.44730420029755885
A402,2005,anomalia,11,1047,16.688026428222656,17.545454025268555,-0.4899477179793707
A402,2005,anomalia,12,1044,16.744272232055664,17.60701560974121,-0.5047296990408281
A402,2005,anomalia,13,1044,16.776872634887695,17.634052276611328,-0.5026174753984859
A402,2005,anomalia,14,1040,16.836034774780273,17.67132568359375,-0.4709002800280242
A402,2005,anomalia,15,1034,16.859424591064453,17.66722297668457,-0.41708266394256965
A402,2005,anomalia,16,1035,16.87152099609375,17.643768310546875,-0.34968567789172583
A402,2005,anomalia,17,1034,16.86224937438965,17.59282684326172,-0.2684063497750362
A402,2005,anomalia,18,1030,16.850576400756836,17.54172706604004,-0.18173923395225883
