codigo,ano,classificacao,arquivo,n_temp_max,temp_max_min_c,temp_max_p01_c,temp_max_mediana_c,temp_max_p99_c,temp_max_max_c,n_com_max_inst,violacao_max_inst,pct_violacao_max_inst,mediana_max_menos_inst_c,n_com_max_min,violacao_max_min,pct_violacao_max_min
A402,2005,anomalia,2005/INMET_NE_BA_A402_BARREIRAS_01-01-2005_A_31-12-2005.CSV,1153,3.2,3.5,6.7,14.444000000000006,18.2,1153,0,0.0,0.10000000000000142,1153,0,0.0
A355,2015,anomalia,2015/INMET_NE_AL_A355_CORURIPE_01-01-2015_A_31-12-2015.CSV,8758,21.8,24.4,31.1,38.8,42.2,8758,0,0.0,0.40000000000000213,8758,0,0.0
A316,2014,anomalia,2014/INMET_NE_RN_A316_CAICO_01-01-2014_A_31-12-2014.CSV,7377,19.4,21.876,28.8,37.2,39.0,7377,0,0.0,0.5,7377,0,0.0
A316,2015,anomalia,2015/INMET_NE_RN_A316_CAICO_01-01-2015_A_31-12-2015.CSV,8072,20.0,22.3,28.7,37.9,39.4,8072,0,0.0,0.5,8072,0,0.0
A402,2006,controle,2006/INMET_NE_BA_A402_BARREIRAS_01-01-2006_A_31-12-2006.CSV,6816,16.8,19.9,24.4,35.7,38.1,6816,0,0.0,0.1999999999999993,6815,0,0.0
A355,2014,controle,2014/INMET_NE_AL_A355_CORURIPE_01-01-2014_A_31-12-2014.CSV,8760,19.2,20.8,25.6,33.2,35.9,8760,0,0.0,0.3999999999999986,8760,0,0.0
A355,2017,controle,2017/INMET_NE_AL_A355_CORURIPE_01-01-2017_A_31-12-2017.CSV,7954,19.3,20.9,25.9,33.3,35.3,7954,0,0.0,0.3999999999999986,7954,0,0.0
A316,2013,controle,2013/INMET_NE_RN_A316_CAICO_01-01-2013_A_31-12-2013.CSV,8746,19.5,22.3,28.8,37.9,39.1,8746,0,0.0,0.5,8746,0,0.0
A316,2016,controle,2016/INMET_NE_RN_A316_CAICO_01-01-2016_A_31-12-2016.CSV,6991,20.2,22.3,29.1,38.0,39.3,6991,0,0.0,0.5999999999999979,6991,0,0.0
A610,2012,controle_sistematico,2012/INMET_SE_RJ_A610_PICO DO COUTO_01-01-2012_A_31-12-2012.CSV,8780,2.1,6.4,14.5,23.7,27.4,8780,0,0.0,0.3999999999999986,8780,0,0.0
