codigo,estacao,uf,regiao,latitude,longitude,altitude_m,ano_inicio,ano_fim,anos_presentes,anos_cobertura_80,anos_cobertura_90,cobertura_mediana,observacoes_validas,deslocamento_max_coord_km,coordenada_suspeita,dentro_dominio_era5
A005,PORANGATU,GO,CO,-13.30944444,-49.11749999,365.0,2018,2025,8,5,5,0.9589119070788732,51278,24.414217027042948,True,True
A039,FORMOSO DO ARAGUAIA,TO,N,-11.98722221,-49.60833333,220.0,2008,2025,18,15,13,0.9577533560396236,141971,11.102303600135693,True,True
A050,RIO SONO,TO,N,-9.793363,-47.132732,291.0,2016,2025,10,6,5,0.8789388240137734,67320,70.42684978085688,True,True
A052,SANTA ROSA DO TOCANTINS,TO,N,-11.42888888,-48.18499999,306.0,2015,2025,11,9,7,0.9098173515981736,81211,42.53216134810872,True,True
A104,RIO BRANCO,AC,N,-9.95777777,-68.165,220.0,2008,2025,18,9,8,0.7284003831417625,101113,32.420128059047016,True,True
A108,CRUZEIRO DO SUL,AC,N,-7.61055555,-72.6811111,220.0,2015,2025,11,4,4,0.6364155251141552,53099,30.431744607080052,True,True
A111,LABREA,AM,N,-7.43527777,-64.7886111,64.0,2008,2025,18,12,9,0.9101905236691521,118481,19.42825127148091,True,True
A112,HUMAITA,AM,N,-7.92277777,-63.12138888,72.0,2008,2025,18,9,8,0.7450747935224693,103501,41.54000263606823,True,True
A120,AUTAZES,AM,N,-2.05638888,-60.02555554,78.0,2008,2025,18,11,10,0.9344178082191781,119380,196.80555734772392,True,True
A124,URUCARA,AM,N,-2.89638888,-57.75833333,17.0,2008,2025,18,13,11,0.9878424657534246,123987,40.21556622353534,True,True
A125,RIO URUBU,AM,N,-2.7211111,-59.94333333,59.0,2008,2025,18,14,12,0.9733037340619308,128139,39.297111671976424,True,True
A138,FEIJO,AC,N,-8.24194444,-70.57527777,163.0,2009,2025,17,11,10,0.9452861952861953,106299,27.786763272644155,True,True
A212,PARAGOMINAS,PA,N,-3.01027777,-47.34305555,101.0,2007,2025,19,14,12,0.9294171220400729,125375,20.821912943512057,True,True
A227,SOURE,PA,N,-0.81111111,-48.51583333,11.0,2008,2025,18,12,9,0.8777322404371585,109670,9.266257427428279,True,True
A232,OBIDOS,PA,N,-3.623333325,-52.32249999,92.82,2012,2025,14,10,7,0.9276683789954339,92783,404.5297895094936,True,True
A240,MARABA,PA,N,-5.16722221,-49.37916666,116.0,2009,2025,17,10,8,0.8333333333333334,95348,42.542963765158675,True,True
A241,CONCEICAO DO ARAGUAIA,PA,N,-8.25916666,-49.27416666,180.0,2008,2025,18,14,10,0.9184360730593607,136986,5.032019076110311,True,True
A302,ARQ.SAO PEDRO E SAO PAULO,RN,NE,0.9,-29.31666666,15.0,2003,2020,18,1,1,0.040625,25173,3.7534562667419267,False,False
A304,NATAL,RN,NE,-5.9,-35.2,48.6,2003,2025,23,15,14,0.9276255707762557,168676,7.037220622176299,True,True
A314,GUARAMIRANGA,CE,NE,-4.26111111,-38.19749999,38.2,2007,2025,19,11,11,0.9323770491803278,112778,84.50510577067672,True,True
A330,PAULISTANA,PI,NE,-8.07999999,-41.07999999,374.22,2007,2025,19,17,14,0.9644308943089431,144521,9.050015201446447,True,True
A332,MORADA NOVA,CE,NE,-5.13638888,-38.35638888,43.6,2007,2025,19,18,15,0.9823059360730594,151418,5.118562333573931,True,True
A333,SAO GONCALO,PB,NE,-6.75666666,-38.22749999,233.06,2007,2025,19,16,14,0.9979452054794521,145019,12.800569415575083,True,True
A336,ALVORADA DO GURGUEIA,PI,NE,-8.44305555,-43.86472222,270.0,2007,2025,19,13,12,0.9339041095890411,139118,7.435704100918986,True,True
A339,JAGUARUANA,CE,NE,-4.85333333,-37.77694443,12.0,2007,2025,19,14,12,0.9278846153846154,136826,8.729130749793704,True,True
A341,CARUARU,PE,NE,-8.2361111,-35.98583333,550.0,2007,2025,19,13,12,0.9420537340619308,133939,15.104790953245802,True,True
A365,CANTO DO BURITI,PI,NE,-8.11777777,-42.00888888,308.0,2010,2025,16,14,13,0.9555415200738577,127087,106.44205033655231,True,True
A406,CRUZ DAS ALMAS,BA,NE,-12.65,-39.15,225.87,2003,2025,23,15,12,0.9098173515981736,170758,7.157930775331779,True,True
A412,MACAJUBA,BA,NE,-12.11666666,-40.18333333,380.0,2003,2025,23,16,14,0.9265710382513661,151611,18.653128063246083,True,True
A418,BOM JESUS DA LAPA,BA,NE,-13.41666666,-43.18416666,440.0,2007,2025,19,13,9,0.8976548269581056,124631,30.195259461655365,True,True
A431,CONDE,BA,NE,-11.8,-37.59972221,31.9,2008,2025,18,12,10,0.944634703196347,120553,27.776359294507728,True,True
A455,ITAMARAJU,BA,NE,-17.00694444,-39.55805555,110.0,2016,2025,10,4,3,0.7316762107942212,48943,47.78914398280842,True,True
A514,SAO JOAO DEL REI,MG,SE,-21.22638888,-44.97944443,991.0,2006,2025,20,19,15,0.9982876712328768,163471,76.72132509665889,True,True
A526,MONTALVANIA,MG,SE,-15.08583333,-44.01583333,512.0,2007,2025,19,17,11,0.9668949771689498,149719,86.14185448126315,True,True
A566,ARACUAI,MG,SE,-16.84888888,-42.03527777,308.0,2017,2025,9,9,7,0.9803652968036529,70947,319.26220437037983,True,True
