ano,codigo,estacao,regiao,uf,latitude,longitude,altitude_m,data_fundacao,arquivo_origem,linhas_total,datetime_validos,temperaturas_validas,duplicados_datetime,primeiro_datetime_utc,ultimo_datetime_utc,distancia_ref_km,latitude_referencia,longitude_referencia
2018,A005,PORANGATU,CO,GO,-13.51444444,-49.19833333,365.5,2018-09-13,2018/INMET_CO_GO_A005_PORANGATU_13-09-2018_A_31-12-2018.CSV,2640,2640,2614,0,2018-09-13T00:00:00,2018-12-31T23:00:00,24.414217027042948,-13.30944444,-49.11749999
2019,A005,,,GO,-13.309528,-49.117478,365.0,04/06/01,2019/INMET_CO_GO_A005_PORANGATU_01-01-2019_A_31-12-2019.CSV,8760,8760,8714,0,2019-01-01T00:00:00,2019-12-31T23:00:00,0.009591313039842203,-13.30944444,-49.11749999
2020,A005,PORANGATU,CO,GO,-13.309528,-49.117478,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2020_A_31-12-2020.CSV,8784,8784,4810,0,2020-01-01T00:00:00,2020-12-31T23:00:00,0.009591313039842203,-13.30944444,-49.11749999
2021,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2021_A_31-12-2021.CSV,8760,8760,3880,0,2021-01-01T00:00:00,2021-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2022,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2022_A_31-12-2022.CSV,8760,8760,8483,0,2022-01-01T00:00:00,2022-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2023,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2023_A_31-12-2023.CSV,8760,8760,5954,0,2023-01-01T00:00:00,2023-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2024,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,INMET_CO_GO_A005_PORANGATU_01-01-2024_A_31-12-2024.CSV,8784,8784,8368,0,2024-01-01T00:00:00,2024-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2025,A005,PORANGATU,CO,GO,-13.30944444,-49.11749999,365.0,04/06/01,2025/INMET_CO_GO_A005_PORANGATU_01-01-2025_A_31-12-2025.CSV,8760,8760,8455,0,2025-01-01T00:00:00,2025-12-31T23:00:00,0.0,-13.30944444,-49.11749999
2008,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2008/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_27-04-2008_A_31-12-2008.CSV,5976,5976,5841,0,2008-04-27T00:00:00,2008-12-31T23:00:00,0.0,-11.98722221,-49.60833333
2009,A039,FORMOSO DO ARAGUAIA,N,TO,-11.98722221,-49.60833333,220.0,2008-04-27,2009/INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2009_A_31-12-2009.CSV,8760,8760,7521,0,2009-01-01T00:00:00,2009-12-31T23:00:00,0.0,-11.98722221,-49.60833333
