ano,arquivo,tamanho_mb,arquivos_internos,csv,txt,outros,status
2000,2000.zip,0.5,5,5,0,0,OK
2001,2001.zip,1.54,16,16,0,0,OK
2002,2002.zip,3.35,33,33,0,0,OK
2003,2003.zip,8.18,55,55,0,0,OK
2004,2004.zip,8.4,62,62,0,0,OK
2005,2005.zip,10.43,64,64,0,0,OK
2006,2006.zip,15.82,154,154,0,0,OK
2007,2007.zip,40.34,264,264,0,0,OK
2008,2008.zip,72.43,417,417,0,0,OK
2009,2009.zip,84.2,434,434,0,0,OK
2010,2010.zip,85.99,446,446,0,0,OK
2011,2011.zip,88.26,456,456,0,0,OK
2012,2012.zip,93.24,468,468,0,0,OK
2013,2013.zip,95.02,473,473,0,0,OK
2014,2014.zip,94.33,475,475,0,0,OK
2015,2015.zip,93.43,484,484,0,0,OK
2016,2016.zip,97.69,529,529,0,0,OK
2017,2017.zip,104.6,563,563,0,0,OK
2018,2018.zip,112.44,596,596,0,0,OK
2019,2019.zip,112.11,589,589,0,0,OK
2020,2020.zip,98.85,589,589,0,0,OK
2021,2021.zip,76.84,588,588,0,0,OK
2022,2022.zip,86.18,567,567,0,0,OK
2023,2023.zip,102.11,567,567,0,0,OK
2024,2024.zip,98.01,565,565,0,0,OK
2025,2025.zip,86.69,594,594,0,0,OK
