ano,maxima_original_c,data_hora_original_utc,latitude_original,longitude_original,maxima_completa_c,data_hora_completa_utc,latitude_completa,longitude_completa,fonte_maxima,diferenca_c,maxima_alterada,registros_original,registros_complemento,registros_total
1995,40.9408,1995-12-18 18:00,-29.75,-54.25,40.9408,1995-12-18 18:00,-29.75,-54.25,original,0.0,False,6570,2190,8760
1996,39.7113,1996-09-27 18:00,-13.75,-51.0,39.7113,1996-09-27 18:00,-13.75,-51.0,original,0.0,False,6588,2196,8784
1997,41.0163,1997-10-14 18:00,-14.25,-51.75,41.0163,1997-10-14 18:00,-14.25,-51.75,original,0.0,False,6570,2190,8760
1998,40.3825,1998-09-16 18:00,-12.0,-50.5,40.3825,1998-09-16 18:00,-12.0,-50.5,original,0.0,False,6570,2190,8760
1999,40.028,1999-09-05 18:00,-13.75,-51.0,40.028,1999-09-05 18:00,-13.75,-51.0,original,0.0,False,6570,2190,8760
2000,39.0167,2000-01-18 20:00,-22.0,-57.75,39.0167,2000-01-18 20:00,-22.0,-57.75,original,0.0,False,6588,2196,8784
2001,39.1645,2001-10-05 18:00,-10.25,-42.75,39.1645,2001-10-05 18:00,-10.25,-42.75,original,0.0,False,6570,2190,8760
2002,40.3231,2002-10-27 18:00,-19.75,-58.0,40.3231,2002-10-27 18:00,-19.75,-58.0,original,0.0,False,6570,2190,8760
2003,40.7477,2003-11-11 19:00,-22.0,-55.0,40.7477,2003-11-11 19:00,-22.0,-55.0,original,0.0,False,6570,2190,8760
2004,40.8373,2004-09-27 18:00,-21.5,-53.0,40.8373,2004-09-27 18:00,-21.5,-53.0,original,0.0,False,6588,2196,8784
2005,40.6146,2005-09-21 18:00,-12.25,-50.5,40.6146,2005-09-21 18:00,-12.25,-50.5,original,0.0,False,6570,2190,8760
2006,39.5141,2006-12-21 18:00,-4.0,-42.75,39.5141,2006-12-21 18:00,-4.0,-42.75,original,0.0,False,6570,2190,8760
2007,40.7685,2007-09-17 18:00,-12.25,-50.5,40.7685,2007-09-17 18:00,-12.25,-50.5,original,0.0,False,6570,2190,8760
2008,40.7689,2008-10-29 19:00,-20.5,-58.0,40.7689,2008-10-29 19:00,-20.5,-58.0,original,0.0,False,6588,2196,8784
2009,40.5377,2009-11-19 19:00,-19.75,-58.0,40.5377,2009-11-19 19:00,-19.75,-58.0,original,0.0,False,6570,2190,8760
2010,41.0636,2010-09-25 18:00,-12.5,-50.5,41.0636,2010-09-25 18:00,-12.5,-50.5,original,0.0,False,6570,2190,8760
2011,40.8051,2011-09-23 18:00,-12.0,-50.5,40.8051,2011-09-23 18:00,-12.0,-50.5,original,0.0,False,6570,2190,8760
2012,41.5878,2012-10-30 19:00,-19.5,-58.0,41.5878,2012-10-30 19:00,-19.5,-58.0,original,0.0,False,6588,2196,8784
2013,40.1706,2013-12-06 18:00,-19.75,-56.5,40.1706,2013-12-06 18:00,-19.75,-56.5,original,0.0,False,6570,2190,8760
2014,42.2501,2014-10-15 19:00,-19.5,-55.75,42.2501,2014-10-15 19:00,-19.5,-55.75,original,0.0,False,6570,2190,8760
2015,41.7021,2015-10-18 18:00,-13.75,-51.0,41.7021,2015-10-18 18:00,-13.75,-51.0,original,0.0,False,6570,2190,8760
2016,40.3466,2016-11-25 18:00,-5.5,-42.0,40.3466,2016-11-25 18:00,-5.5,-42.0,original,0.0,False,6588,2196,8784
2017,40.8546,2017-10-25 18:00,-12.0,-50.5,40.8546,2017-10-25 18:00,-12.0,-50.5,original,0.0,False,6570,2190,8760
2018,39.6259,2018-09-18 18:00,-5.75,-42.25,39.6259,2018-09-18 18:00,-5.75,-42.25,original,0.0,False,6570,2190,8760
2019,41.5329,2019-09-14 18:00,-13.75,-51.0,41.5329,2019-09-14 18:00,-13.75,-51.0,original,0.0,False,6570,2190,8760
2020,42.9352,2020-10-03 18:00,-21.25,-53.0,42.9352,2020-10-03 18:00,-21.25,-53.0,original,0.0,False,6588,2196,8784
2021,42.6166,2021-09-20 19:00,-19.5,-58.0,42.6166,2021-09-20 19:00,-19.5,-58.0,original,0.0,False,6570,2190,8760
2022,40.5727,2022-01-16 18:00,-29.75,-57.0,40.5727,2022-01-16 18:00,-29.75,-57.0,original,0.0,False,6570,2190,8760
2023,42.2887,2023-11-18 19:00,-22.75,-43.5,42.2887,2023-11-18 19:00,-22.75,-43.5,original,0.0,False,6570,2190,8760
2024,42.2379,2024-10-07 19:00,-19.5,-58.0,42.2379,2024-10-07 19:00,-19.5,-58.0,original,0.0,False,6588,2196,8784
2025,40.8546,2025-09-13 19:00,-16.75,-56.25,40.8546,2025-09-13 19:00,-16.75,-56.25,original,0.0,False,6570,2190,8760
