ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,prioridade_diagnostico
2005,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.13162100456621,1153,48.041666666666664,6.908065905285626,23.637773123391277,16.72970718936308,16.72970718936308,17.19735987802451,0.2817324983693749,3.9849537983439802,1.3941898345947266,10.141686630249023,16.599658966064453,23.062949752807615,25.15161895751953,25.15161895751953,1100.0,95.40329575021683,267.0,23.156981786643538,3.200000047683716,18.200000762939453,14.819650650024414,33.15161895751953,1153,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,17.567380584167505,14.95594068781806,False,True,True,True,True,True,True,6,True,cobertura_baixa|bias_extremo|rmse_extremo|correlacao_baixa|salto_bias_historico|salto_rmse_historico,633.9270670673876
2022,A214,RONDON DO PARA,PA,N,-4.82749999,-48.1736111,203.0,-4.75,-48.25,7026,12.079309462935916,0.0002283105022831,2,0.08333333333333333,25.100000858306885,26.716089248657227,1.6160893440246582,10.146313190460205,10.27421121676875,1.0,14.349053722033851,-8.530223846435547,-7.515592527389526,1.6160893440246582,10.747771215438842,11.762402534484863,11.762402534484863,1.0,50.0,0.0,0.0,14.300000190734863,35.900001525878906,26.062402725219727,27.369775772094727,2,True,18,-0.5052080125244368,1.8923764753363586,0.9098457303707818,2.121297356549095,8.38183474143239,True,True,False,True,False,False,True,4,True,poucos_pares|cobertura_baixa|rmse_extremo|salto_rmse_historico,411.89030056079343
2017,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.6791095890410959,5949,247.875,15.215027746302198,22.622870575582144,7.407842843038913,7.409296303864767,7.6623089752502365,0.8830529656296341,1.958440188829444,-1.355709433555603,4.225342273712158,7.381103992462158,10.494472885131835,14.89189338684082,14.89189338684082,529.0,8.89225079845352,0.0,0.0,4.099999904632568,27.5,10.794336318969727,33.881248474121094,5949,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,0.6096042643834059,0.5658308892562713,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,315.07015181828916
2020,A610,PICO DO COUTO,RJ,SE,-22.46472222,-43.29138888,1777.0,-22.5,-43.25,18477,5.785420347536907,0.1375227686703096,1208,50.333333333333336,17.298427151528415,24.488488107327594,7.190060952049217,7.190060952049217,7.363646734202841,0.8729815820177675,1.590097414126691,1.5553226470947266,4.871719193458557,6.971362590789795,9.990304327011104,13.045215606689453,13.045215606689453,60.0,4.966887417218543,0.0,0.0,11.600000381469727,25.899999618530273,18.777978897094727,33.381248474121094,1208,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,0.39182237339371007,0.26716864820887576,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,314.5537076862521
2009,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.740296803652968,6485,270.2083333333333,14.501310717884907,21.410910425061157,6.90959970710114,6.911596235480524,7.147027803344988,0.899797380285634,1.8270065759216432,-2.872558116912842,3.8781643867492677,6.860302925109863,9.893760490417467,14.350391387939453,14.350391387939453,292.0,4.502698535080956,0.0,0.0,3.700000047683716,27.299999237060547,8.427881240844727,32.737937927246094,6485,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,0.11136112844563328,0.050549717351023205,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,314.05662751044616
2021,A610,PICO DO COUTO,RJ,SE,-22.46472222,-43.29138888,1777.0,-22.5,-43.25,18477,5.785420347536907,0.7718036529680365,6761,281.7083333333333,14.319819549637211,20.928117326934775,6.608297776462751,6.618064944692221,6.909498552099523,0.8911897379558591,2.017962596884527,-2.5706753730773926,3.074524402618408,6.709961414337158,9.759912490844727,14.26708984375,14.26708984375,253.0,3.7420499926046444,0.0,0.0,0.699999988079071,27.299999237060547,7.651071071624756,33.621726989746094,6761,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,-0.18994080219275578,-0.18697953389444244,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,313.51779632856227
2010,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.7824200913242009,6854,285.5833333333333,13.755325353733472,20.305241785419554,6.549916428578232,6.584116827871576,6.92537810773902,0.8506899603967071,2.2494877188538127,-6.286669731140137,2.5856972336769104,6.67661190032959,9.991948938369747,16.782859802246094,16.782859802246094,340.0,4.960606944849723,0.0,0.0,2.5,25.700000762939453,8.013086318969727,33.756736755371094,6854,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,-0.24832215007727498,-0.17109997825494538,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,313.4752945363172
2015,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.5388127853881278,4720,196.66666666666666,14.229173722206536,20.70462849342217,6.475454765776077,6.490082256139209,6.842140077229484,0.8547452683635953,2.210068153607366,-3.305175304412842,2.840562915802002,6.480572938919067,10.050203371047974,16.110837936401367,16.110837936401367,249.0,5.27542372881356,0.0,0.0,5.300000190734863,29.899999618530273,11.599756240844727,35.919334411621094,4720,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,-0.3227838128794298,-0.2543380087644813,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,313.31759484300557
2016,A610,PICO DO COUTO,RJ,SE,-22.48166666,-43.29138888,1777.0,-22.5,-43.25,18477,4.715609737755797,0.4567395264116575,4012,167.16666666666666,13.842397816040936,20.258027801841706,6.415629994571729,6.417933979895289,6.751831472211408,0.896066423902251,2.104286980603029,-0.8749294281005859,2.8262277245521545,6.410287857055664,9.792087793350218,15.310108184814453,15.310108184814453,164.0,4.087736789631107,0.0,0.0,2.5,27.5,7.036035060882568,33.935691833496094,4012,True,20,6.798238578655507,7.096478085993965,0.8817120889340715,-0.38260858408377807,-0.34464661378255723,False,True,True,True,False,False,False,3,True,cobertura_baixa|bias_extremo|rmse_extremo,313.1674614667831
2015,A355,CORURIPE,AL,NE,-10.14527777,-36.28638888,74.0,-10.25,-36.25,10616,12.306734024475103,0.9997716894977168,8758,364.9166666666667,31.42229959327191,25.7102121321353,-5.712087478400615,5.75766956002874,6.2642878233548585,0.6864341379052706,2.5717919397126243,-12.896777153015137,-9.705681037902833,-5.688215255737305,-1.3829390645027178,3.3966801166534424,12.896777153015137,314.0,3.585293445992236,0.0,0.0,21.799999237060547,42.20000076293945,21.90097999572754,31.204248428344727,8758,True,17,-0.531214450376541,1.9606566142067805,0.8318154996707885,-5.180873028024074,4.303631209148078,False,False,True,True,False,True,False,3,True,bias_extremo|rmse_extremo|salto_bias_historico,311.97637530175547
