ano_inicial,ano_final,duracao_anos,n_estacoes,n_norte,n_nordeste,n_centro_oeste,n_sudeste,n_sul
2000,2025,26,0,0,0,0,0,0
2001,2025,25,0,0,0,0,0,0
2002,2025,24,0,0,0,0,0,0
2003,2025,23,0,0,0,0,0,0
2004,2025,22,0,0,0,0,0,0
2005,2025,21,0,0,0,0,0,0
2006,2025,20,0,0,0,0,0,0
2007,2025,19,1,0,0,0,0,1
2008,2025,18,3,0,0,1,1,1
2009,2025,17,6,0,0,2,3,1
2010,2025,16,6,0,0,2,3,1
2011,2025,15,8,1,0,3,3,1
2012,2025,14,8,1,0,3,3,1
2013,2025,13,8,1,0,3,3,1
2014,2025,12,8,1,0,3,3,1
2015,2025,11,11,1,0,4,5,1
2016,2025,10,14,1,0,4,8,1
