codigo,observacoes,temperatura_min_c,temperatura_max_c,primeiro_datetime,ultimo_datetime,ano
A001,5174,9.2,32.6,2000-05-07 12:00:00,2000-12-31 23:00:00,2000
A401,2093,21.7,31.8,2000-10-05 14:00:00,2000-12-31 23:00:00,2000
A101,5011,21.0,35.1,2000-05-09 21:00:00,2000-12-31 23:00:00,2000
A601,5066,9.4,38.2,2000-05-07 12:00:00,2000-12-29 09:00:00,2000
A801,2378,7.6,36.2,2000-09-22 04:00:00,2000-12-31 23:00:00,2000
A001,7956,11.3,33.1,2001-01-01 00:00:00,2001-12-31 23:00:00,2001
A002,4486,8.7,34.5,2001-05-30 12:00:00,2001-12-28 15:00:00,2001
A003,4617,6.1,39.6,2001-05-30 14:00:00,2001-12-31 23:00:00,2001
A702,2639,7.4,35.0,2001-09-11 17:00:00,2001-12-31 23:00:00,2001
A703,2666,5.0,33.8,2001-09-07 00:00:00,2001-12-31 23:00:00,2001
A704,2813,8.4,38.8,2001-09-04 15:00:00,2001-12-31 23:00:00,2001
A401,8489,20.1,32.4,2001-01-01 00:00:00,2001-12-31 23:00:00,2001
A402,142,21.2,35.0,2001-12-20 17:00:00,2001-12-31 23:00:00,2001
A101,6450,20.0,37.8,2001-01-01 00:00:00,2001-12-31 23:00:00,2001
A601,6798,11.7,37.9,2001-01-05 16:00:00,2001-12-31 23:00:00,2001
A705,2924,6.7,35.3,2001-08-30 14:00:00,2001-12-31 23:00:00,2001
A801,7546,3.0,35.9,2001-01-01 00:00:00,2001-12-31 23:00:00,2001
A802,982,11.4,29.2,2001-11-17 17:00:00,2001-12-31 23:00:00,2001
A803,842,12.9,36.2,2001-11-26 19:00:00,2001-12-31 23:00:00,2001
A804,833,8.2,33.5,2001-11-22 13:00:00,2001-12-31 23:00:00,2001
A805,624,14.2,35.4,2001-12-05 21:00:00,2001-12-31 23:00:00,2001
A001,8014,11.6,33.4,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A002,7973,10.0,37.6,2002-01-15 19:00:00,2002-12-31 23:00:00,2002
A003,8049,5.9,37.0,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A702,7807,4.5,36.6,2002-01-01 00:00:00,2002-12-31 22:00:00,2002
A703,8285,2.6,36.7,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A704,7467,6.4,38.8,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A901,248,24.1,36.4,2002-12-21 16:00:00,2002-12-31 23:00:00,2002
A904,338,20.9,33.6,2002-12-16 18:00:00,2002-12-31 23:00:00,2002
A905,443,20.5,33.0,2002-12-13 13:00:00,2002-12-31 23:00:00,2002
A906,200,22.1,34.6,2002-12-20 17:00:00,2002-12-31 23:00:00,2002
A401,7843,20.1,32.2,2002-01-01 00:00:00,2002-12-31 19:00:00,2002
A402,5287,12.6,38.3,2002-01-01 00:00:00,2002-12-14 15:00:00,2002
A404,5644,12.8,36.6,2002-04-22 00:00:00,2002-12-31 23:00:00,2002
A405,240,20.7,31.7,2002-12-22 00:00:00,2002-12-31 23:00:00,2002
A101,5617,21.7,36.5,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A505,297,18.6,30.8,2002-12-19 15:00:00,2002-12-31 23:00:00,2002
A506,312,19.9,33.9,2002-12-19 00:00:00,2002-12-31 23:00:00,2002
A508,407,20.6,36.9,2002-12-15 00:00:00,2002-12-31 23:00:00,2002
A601,7475,10.7,39.7,2002-01-01 00:00:00,2002-12-31 20:00:00,2002
A602,1176,15.5,40.9,2002-11-08 00:00:00,2002-12-31 17:00:00,2002
A603,1190,13.5,39.6,2002-10-29 00:00:00,2002-12-31 22:00:00,2002
A604,493,19.7,35.4,2002-12-10 00:00:00,2002-12-31 22:00:00,2002
A705,5736,5.1,38.7,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A706,5369,-1.1,28.5,2002-03-30 00:00:00,2002-12-14 13:00:00,2002
A708,444,17.4,30.9,2002-12-12 00:00:00,2002-12-31 23:00:00,2002
A801,7487,3.8,37.9,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A802,7908,3.1,35.7,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A803,7927,-0.7,38.0,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A804,7093,-0.1,35.9,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A805,7657,0.4,35.8,2002-01-01 00:00:00,2002-12-31 23:00:00,2002
A001,8208,11.7,33.2,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A002,7920,7.3,38.5,2003-01-01 00:00:00,2003-12-31 22:00:00,2003
A003,5861,7.3,36.7,2003-01-01 00:00:00,2003-10-03 19:00:00,2003
A702,6266,6.4,36.4,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A703,744,15.9,33.3,2003-01-01 00:00:00,2003-02-25 01:00:00,2003
A704,3401,8.7,39.2,2003-01-01 00:00:00,2003-05-26 03:00:00,2003
A901,8539,13.5,39.2,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A902,4920,11.2,36.8,2003-05-21 00:00:00,2003-12-31 14:00:00,2003
A903,7202,11.0,37.0,2003-02-25 12:00:00,2003-12-31 23:00:00,2003
A904,8756,13.6,37.6,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A905,8755,11.5,35.7,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A906,8516,13.5,36.8,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A907,1044,20.0,36.3,2003-11-17 20:00:00,2003-12-31 23:00:00,2003
A303,7423,18.2,33.5,2003-02-25 16:00:00,2003-12-31 23:00:00,2003
A401,7917,20.7,43.3,2003-01-01 12:00:00,2003-12-31 23:00:00,2003
A402,5204,11.5,38.3,2003-02-15 20:00:00,2003-10-27 17:00:00,2003
A404,7968,10.7,35.4,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A405,3084,20.6,32.4,2003-01-01 00:00:00,2003-12-31 23:00:00,2003
A406,3601,18.8,35.4,2003-01-20 13:00:00,2003-11-22 00:00:00,2003
