ano,observacoes,estacoes,esperado_catalogo,contagem_confere,datetime_nulos,temperatura_nulos,codigo_nulos,datas_fora_ano,linhas_duplicadas,chaves_duplicadas,duplicados_conflitantes,temp_min_c,temp_max_c,abaixo_flag,acima_flag,status
2000,19722,5,19722,True,0,0,0,0,0,0,0,7.6,38.2,0,0,OK
2001,60807,16,60807,True,0,0,0,0,0,0,0,3.0,39.6,0,0,OK
2002,134426,30,134426,True,0,0,0,0,0,0,0,-1.1,40.9,0,0,OK
2003,328307,54,328307,True,0,0,0,0,0,0,0,0.0,43.3,0,0,OK
2004,335049,56,335049,True,0,0,0,0,0,0,0,-0.9,40.3,0,0,OK
2005,420492,63,420492,True,0,0,0,0,0,0,0,0.6,45.0,0,0,OK
2006,631244,152,631244,True,0,0,0,0,0,0,0,-1.9,44.9,0,0,OK
2007,1628364,262,1628364,True,0,0,0,0,0,0,0,-5.1,45.0,0,0,OK
2008,2951106,416,2951106,True,0,0,0,0,0,0,0,-9.7,45.0,0,0,OK
2009,3464806,430,3464806,True,0,0,0,0,0,0,0,-5.3,44.9,0,0,OK
2010,3506765,443,3506765,True,0,0,0,0,0,0,0,-4.7,44.9,0,0,OK
2011,3612000,453,3612000,True,0,0,0,0,0,0,0,-9.6,44.3,0,0,OK
2012,3828097,466,3828097,True,0,0,0,0,0,0,0,-5.5,45.0,0,0,OK
2013,3897481,470,3897481,True,0,0,0,0,0,0,0,-8.2,45.0,0,0,OK
2014,3857419,472,3857419,True,0,0,0,0,0,0,0,-3.5,43.9,0,0,OK
2015,3809411,481,3809411,True,0,0,0,0,0,0,0,-3.0,43.2,0,0,OK
2016,3973839,511,3973839,True,0,0,0,0,0,0,0,-6.8,43.8,0,0,OK
2017,4274316,557,4274316,True,0,0,0,0,0,0,0,-7.6,44.4,0,0,OK
2018,4623722,592,4623722,True,0,0,0,0,0,0,0,-3.9,45.0,0,0,OK
2019,4621985,588,4621985,True,0,0,0,0,0,0,0,-6.8,44.8,0,0,OK
2020,3988585,569,3988585,True,0,0,0,0,0,0,0,-51.2,44.8,5545,0,OK
2021,2933067,492,2933067,True,0,0,0,0,0,0,0,-8.2,45.0,0,0,OK
2022,3389142,534,3389142,True,0,0,0,0,0,0,0,-5.5,43.0,0,0,OK
2023,4185933,551,4185933,True,0,0,0,0,0,0,0,-1.6,43.5,0,0,OK
2024,4025896,541,4025896,True,0,0,0,0,0,0,0,-4.9,44.5,0,0,OK
2025,3457757,522,3457757,True,0,0,0,0,0,0,0,-7.3,43.8,0,0,OK
