codigo,anos_validos_extremos,primeiro_ano,ultimo_ano,maior_sequencia_consecutiva,estacao,uf,regiao,rede_extremos_10a,rede_extremos_15a,rede_extremos_consecutiva_10a,rede_extremos_consecutiva_15a
A001,20,2003.0,2025.0,15,BRASILIA,DF,CO,True,True,True,True
A002,18,2006.0,2024.0,15,GOIANIA,GO,CO,True,True,True,True
A003,16,2006.0,2025.0,7,MORRINHOS,GO,CO,True,True,False,False
A005,0,,,0,PORANGATU,GO,CO,False,False,False,False
A009,6,2008.0,2020.0,3,PALMAS,TO,N,False,False,False,False
A010,11,2007.0,2024.0,5,PARANA,TO,N,True,False,False,False
A011,11,2007.0,2025.0,3,SAO SIMAO,GO,CO,True,False,False,False
A012,15,2007.0,2025.0,7,LUZIANIA,GO,CO,True,True,False,False
A013,6,2008.0,2019.0,3,ARAGARCAS,GO,CO,False,False,False,False
A014,12,2008.0,2025.0,4,GOIAS,GO,CO,True,False,False,False
A015,8,2011.0,2021.0,3,ITAPACI,GO,CO,False,False,False,False
A016,14,2008.0,2025.0,9,JATAI,GO,CO,True,False,False,False
A017,9,2008.0,2025.0,3,POSSE,GO,CO,False,False,False,False
A018,6,2007.0,2022.0,2,PEIXE,TO,N,False,False,False,False
A019,11,2008.0,2024.0,5,GURUPI,TO,N,True,False,False,False
A020,9,2008.0,2024.0,2,PEDRO AFONSO,TO,N,False,False,False,False
A021,9,2009.0,2025.0,4,ARAGUAINA,TO,N,False,False,False,False
A022,9,2009.0,2025.0,2,GOIANESIA,GO,CO,False,False,False,False
A023,11,2008.0,2025.0,4,CAIAPONIA,GO,CO,True,False,False,False
A024,11,2008.0,2021.0,5,ALTO PARAISO DE GOIAS,GO,CO,True,False,False,False
A025,8,2008.0,2025.0,2,RIO VERDE,GO,CO,False,False,False,False
A026,7,2011.0,2023.0,2,MINEIROS,GO,CO,False,False,False,False
A027,10,2009.0,2025.0,4,PARAUNA,GO,CO,True,False,False,False
A028,7,2014.0,2025.0,2,IPORA,GO,CO,False,False,False,False
A029,4,2018.0,2024.0,3,EDEIA,GO,CO,False,False,False,False
A031,3,2018.0,2025.0,1,SAO MIGUEL DO ARAGUAIA,GO,CO,False,False,False,False
