codigo,anos_validos_tendencia,primeiro_ano_valido,ultimo_ano_valido,amplitude_anos,maior_sequencia_consecutiva,cobertura_calendario_mediana,cobertura_calendario_min,estacao,uf,regiao,coordenada_estavel_5km,rede_tendencia_10a,rede_tendencia_15a,rede_consecutiva_10a,rede_consecutiva_15a
A001,25,2001.0,2025.0,25,25,0.9976027397260274,0.8756830601092896,BRASILIA,DF,CO,True,True,True,True,True
A002,23,2002.0,2024.0,23,23,0.9930555555555556,0.8397260273972603,GOIANIA,GO,CO,True,True,True,True,True
A003,18,2002.0,2025.0,24,10,0.9989155251141553,0.8920091324200913,MORRINHOS,GO,CO,True,True,True,True,False
A005,0,,,0,0,,,PORANGATU,GO,CO,False,False,False,False,False
A009,19,2005.0,2023.0,19,19,0.9465753424657535,0.8133561643835616,PALMAS,TO,N,True,True,True,True,True
A010,17,2007.0,2025.0,19,11,0.9707422586520947,0.8149543378995434,PARANA,TO,N,True,True,True,True,False
A011,16,2007.0,2025.0,19,13,0.9823630136986301,0.8007741347905283,SAO SIMAO,GO,CO,True,True,True,True,False
A012,17,2007.0,2025.0,19,7,0.9978310502283105,0.916324200913242,LUZIANIA,GO,CO,True,True,True,False,False
A013,11,2008.0,2020.0,13,7,0.9918032786885246,0.9059360730593607,ARAGARCAS,GO,CO,True,True,False,False,False
A014,18,2008.0,2025.0,18,18,0.9934360730593608,0.8062386156648452,GOIAS,GO,CO,True,True,True,True,True
A015,16,2007.0,2025.0,19,11,0.9787671232876712,0.829337899543379,ITAPACI,GO,CO,True,True,True,True,False
A016,16,2008.0,2025.0,18,11,0.9980022831050228,0.9227168949771689,JATAI,GO,CO,True,True,True,True,False
A017,16,2008.0,2025.0,18,14,0.9845994897322654,0.8103369763205829,POSSE,GO,CO,True,True,True,True,False
A018,15,2007.0,2024.0,18,7,0.9355646630236795,0.8004566210045662,PEIXE,TO,N,True,True,True,False,False
A019,16,2007.0,2024.0,18,13,0.9978881278538814,0.9339041095890411,GURUPI,TO,N,True,True,True,True,False
A020,15,2008.0,2024.0,17,13,0.9918032786885246,0.8278538812785388,PEDRO AFONSO,TO,N,True,True,True,True,False
A021,14,2007.0,2025.0,19,6,0.9622716894977169,0.8200136612021858,ARAGUAINA,TO,N,True,True,False,False,False
A022,15,2008.0,2025.0,18,12,0.9601598173515982,0.806392694063927,GOIANESIA,GO,CO,True,True,True,True,False
A023,15,2008.0,2025.0,18,7,0.9985159817351598,0.8158014571948998,CAIAPONIA,GO,CO,True,True,True,False,False
A024,16,2008.0,2024.0,17,14,0.9963470319634704,0.8606164383561644,ALTO PARAISO DE GOIAS,GO,CO,True,True,True,True,False
A025,15,2008.0,2025.0,18,12,0.9915755919854281,0.8656392694063927,RIO VERDE,GO,CO,True,True,True,True,False
A026,11,2009.0,2023.0,15,7,0.9662100456621004,0.8444899817850637,MINEIROS,GO,CO,True,True,False,False,False
A027,14,2009.0,2025.0,17,8,0.9979489482745714,0.8763698630136987,PARAUNA,GO,CO,True,True,False,False,False
A028,9,2014.0,2025.0,12,6,0.9639269406392694,0.9335616438356165,IPORA,GO,CO,True,False,False,False,False
A029,5,2018.0,2024.0,7,3,0.9494292237442923,0.9354508196721312,EDEIA,GO,CO,True,False,False,False,False
A031,4,2018.0,2025.0,8,2,0.9668949771689497,0.9353881278538813,SAO MIGUEL DO ARAGUAIA,GO,CO,True,False,False,False,False
A032,16,2008.0,2023.0,16,16,0.9621575342465754,0.8409817351598173,MONTE ALEGRE DE GOIAS,GO,CO,True,True,True,True,True
A033,18,2008.0,2025.0,18,18,0.9982305936073059,0.8144977168949772,PIRES DO RIO,GO,CO,True,True,True,True,True
A034,18,2008.0,2025.0,18,18,0.9987461636350026,0.8018264840182648,CATALAO,GO,CO,True,True,True,True,True
A035,16,2008.0,2025.0,18,13,0.9849684669511192,0.8845890410958904,ITUMBIARA,GO,CO,True,True,True,True,False
A036,18,2008.0,2025.0,18,18,0.99903046011428,0.9759132420091324,CRISTALINA,GO,CO,True,True,True,True,True
A037,15,2011.0,2025.0,15,15,0.9984018264840183,0.9455479452054795,SILVANIA,GO,CO,True,True,True,True,True
A038,15,2009.0,2024.0,16,13,0.9929417122040073,0.8050228310502283,DIANOPOLIS,TO,N,True,True,True,True,False
A039,0,,,0,0,,,FORMOSO DO ARAGUAIA,TO,N,False,False,False,False,False
A040,10,2013.0,2025.0,13,7,0.9912671232876713,0.8862704918032787,MATEIROS,TO,N,True,True,False,False,False
A041,10,2013.0,2025.0,13,5,0.9462090163934427,0.8002283105022832,MARIANOPOLIS DO TO,TO,N,True,True,False,False,False
A042,8,2018.0,2025.0,8,8,0.9775976557626569,0.9646118721461188,BRAZLANDIA,DF,CO,True,False,False,False,False
A043,6,2013.0,2019.0,7,4,0.9896118721461187,0.8440346083788707,CAMPOS LINDOS,TO,N,True,False,False,False,False
A044,10,2011.0,2025.0,15,8,0.9986301369863013,0.8279680365296803,ARAGUATINS,TO,N,True,True,False,False,False
A045,17,2009.0,2025.0,17,17,0.9906392694063927,0.9468036529680365,AGUAS EMENDADAS,DF,CO,True,True,True,True,True
A046,11,2015.0,2025.0,11,11,0.9927140255009107,0.9622146118721461,GAMA (PONTE ALTA),DF,CO,True,True,False,True,False
A047,9,2017.0,2025.0,9,9,0.9765981735159818,0.8736301369863013,PARANOA (COOPA-DF),DF,CO,True,False,False,False,False
A048,7,2017.0,2025.0,9,4,0.9757990867579909,0.8015981735159817,SANTA FE DO ARAGUAIA,TO,N,True,False,False,False,False
A049,4,2017.0,2023.0,7,2,0.9694063926940639,0.8292237442922374,COLINAS DO TOCANTINS,TO,N,True,False,False,False,False
A050,0,,,0,0,,,RIO SONO,TO,N,False,False,False,False,False
A051,5,2017.0,2023.0,7,3,1.0,0.939041095890411,PIUM,TO,N,True,False,False,False,False
A052,0,,,0,0,,,SANTA ROSA DO TOCANTINS,TO,N,False,False,False,False,False
A053,5,2017.0,2025.0,9,3,0.972716894977169,0.8493150684931506,ALMAS,TO,N,True,False,False,False,False
A054,6,2016.0,2025.0,10,3,0.9248287671232878,0.8896118721461187,ARAGUACU,TO,N,True,False,False,False,False
A055,6,2017.0,2025.0,9,3,0.9690068493150685,0.9438356164383561,LAGOA DA CONFUSAO,TO,N,True,False,False,False,False
A056,8,2018.0,2025.0,8,8,0.9582762557077626,0.9133561643835616,CRISTALINA (FAZENDA SANTA MONICA),GO,CO,True,False,False,False,False
A101,18,2006.0,2025.0,20,16,0.9905952915637398,0.9054794520547945,MANAUS,AM,N,True,True,True,True,True
A102,7,2009.0,2022.0,14,3,0.978310502283105,0.9621004566210045,PARQUE ESTADUAL CHANDLESS,AC,N,True,False,False,False,False
A104,0,,,0,0,,,RIO BRANCO,AC,N,False,False,False,False,False
A108,0,,,0,0,,,CRUZEIRO DO SUL,AC,N,False,False,False,False,False
A109,4,2013.0,2019.0,7,3,0.8985730593607306,0.8703196347031964,EIRUNEPE,AM,N,True,False,False,False,False
A110,11,2009.0,2025.0,17,4,0.9937214611872146,0.8447488584474886,BOCA DO ACRE,AM,N,True,True,False,False,False
A111,0,,,0,0,,,LABREA,AM,N,False,False,False,False,False
A112,0,,,0,0,,,HUMAITA,AM,N,False,False,False,False,False
A113,7,2010.0,2016.0,7,7,0.9961187214611872,0.8489726027397261,APUI,AM,N,True,False,False,False,False
A117,8,2011.0,2019.0,9,7,0.9943493150684932,0.8471461187214612,COARI,AM,N,True,False,False,False,False
A119,15,2009.0,2025.0,17,11,0.9933789954337899,0.9003424657534247,MANACAPURU,AM,N,True,True,True,True,False
A120,0,,,0,0,,,AUTAZES,AM,N,False,False,False,False,False
A121,14,2009.0,2025.0,17,11,0.9917237442922374,0.8394977168949772,ITACOATIARA,AM,N,True,True,False,True,False
A122,7,2009.0,2017.0,9,6,0.9941780821917808,0.8608447488584475,MAUES,AM,N,True,False,False,False,False
A123,11,2009.0,2024.0,16,4,0.9691780821917808,0.8052511415525114,PARINTINS,AM,N,True,True,False,False,False
A124,0,,,0,0,,,URUCARA,AM,N,False,False,False,False,False
A125,0,,,0,0,,,RIO URUBU,AM,N,False,False,False,False,False
A126,9,2009.0,2019.0,11,4,0.9982876712328768,0.9810502283105023,PRESIDENTE FIGUEIREDO,AM,N,True,False,False,False,False
A128,10,2009.0,2025.0,17,4,0.9978906230506275,0.8208105646630237,BARCELOS,AM,N,True,True,False,False,False
A133,9,2012.0,2024.0,13,5,0.9996584699453552,0.8404109589041096,MANICORE,AM,N,True,False,False,False,False
A134,10,2012.0,2024.0,13,5,0.9983447488584476,0.8654371584699454,S. G. DA CACHOEIRA,AM,N,True,True,False,False,False
A135,9,2011.0,2019.0,9,9,0.9984018264840183,0.8441780821917808,BOA VISTA,RR,N,True,False,False,False,False
