ano,estacoes_total,estacoes_ano_cobertura80,estacoes_rede10,estacoes_rede15
2000,5,0,0,0
2001,16,3,3,3
2002,30,10,10,10
2003,53,23,23,20
2004,55,28,28,24
2005,62,35,35,34
2006,151,38,38,36
2007,261,130,127,99
2008,415,238,234,158
2009,430,337,323,184
2010,443,333,321,188
2011,453,355,338,197
2012,466,384,358,202
2013,470,396,368,201
2014,472,390,362,200
2015,481,359,332,193
2016,511,369,337,188
2017,557,399,340,191
2018,591,427,343,199
2019,587,427,335,198
2020,567,333,266,174
2021,492,236,189,154
2022,534,256,199,156
2023,551,395,314,189
2024,541,352,279,166
2025,522,298,230,152
