ano,celulas_era5,horas_esperadas,mensagens_original,mensagens_complemento,horas_encontradas,linhas_esperadas,linhas_encontradas,arquivo_mb,status
2000,5,8784,6588,2196,8784,43920,43920,0.33,OK
2001,16,8760,6570,2190,8760,140160,140160,0.67,OK
2002,30,8760,6570,2190,8760,262800,262800,1.15,OK
2003,53,8760,6570,2190,8760,464280,464280,1.86,OK
2004,55,8784,6588,2196,8784,483120,483120,1.96,OK
2005,62,8760,6570,2190,8760,543120,543120,2.19,OK
2006,150,8760,6570,2190,8760,1314000,1314000,5.0,OK
2007,259,8760,6570,2190,8760,2268840,2268840,9.58,OK
2008,411,8784,6588,2196,8784,3610224,3610224,15.06,OK
2009,426,8760,6570,2190,8760,3731760,3731760,14.58,OK
2010,439,8760,6570,2190,8760,3845640,3845640,17.88,OK
2011,449,8760,6570,2190,8760,3933240,3933240,16.18,OK
2012,462,8784,6588,2196,8784,4058208,4058208,15.86,OK
2013,466,8760,6570,2190,8760,4082160,4082160,16.54,OK
2014,467,8760,6570,2190,8760,4090920,4090920,18.08,OK
2015,475,8760,6570,2190,8760,4161000,4161000,17.13,OK
2016,505,8784,6588,2196,8784,4435920,4435920,18.45,OK
2017,548,8760,6570,2190,8760,4800480,4800480,18.57,OK
2018,579,8760,6570,2190,8760,5072040,5072040,20.7,OK
2019,581,8760,6570,2190,8760,5089560,5089560,20.65,OK
2020,561,8784,6588,2196,8784,4927824,4927824,20.26,OK
2021,486,8760,6570,2190,8760,4257360,4257360,17.37,OK
2022,529,8760,6570,2190,8760,4634040,4634040,18.89,OK
2023,546,8760,6570,2190,8760,4782960,4782960,17.8,OK
2024,536,8784,6588,2196,8784,4708224,4708224,17.92,OK
2025,512,8760,6570,2190,8760,4485120,4485120,17.31,OK
