rede,variavel,regiao,n_estacoes,sen_mediana_c_decada,rho1_mediana,n_classico_p05,n_modificado_p05,n_modificado_fdr05
principal_consecutiva_15a,delta_tmax,Centro-Oeste,4,-0.6761605739593506,-0.16187105007292174,2,2,1
principal_consecutiva_15a,delta_tmax,Norte,1,1.1102973090277777,-0.554561717352415,0,0,0
principal_consecutiva_15a,delta_tmax,Sudeste,3,0.22228326116289412,0.24948347107438015,0,0,0
principal_consecutiva_15a,delta_tmax,Sul,1,0.5604347815880408,0.11228070175438597,0,0,0
principal_consecutiva_15a,tmax_era5,Centro-Oeste,4,0.6760565439860027,-0.3097157915044372,0,0,0
principal_consecutiva_15a,tmax_era5,Norte,1,1.2786865234375,0.05366726296958855,1,1,0
principal_consecutiva_15a,tmax_era5,Sudeste,3,1.73095703125,-0.07352941176470588,2,2,0
principal_consecutiva_15a,tmax_era5,Sul,1,1.613006591796875,0.08340649692712906,1,1,1
principal_consecutiva_15a,tmax_inmet,Centro-Oeste,4,1.4940474828084307,-0.26566866009255014,3,3,3
principal_consecutiva_15a,tmax_inmet,Norte,1,0.0,-0.10215053763440861,0,0,0
principal_consecutiva_15a,tmax_inmet,Sudeste,3,1.3333352406819663,-0.11220268872802482,1,1,0
principal_consecutiva_15a,tmax_inmet,Sul,1,1.3333257039388022,-0.2570298769771529,0,0,0
sensibilidade_consecutiva_10a,delta_tmax,Centro-Oeste,6,-0.6761605739593506,-0.23319567553048615,3,3,1
sensibilidade_consecutiva_10a,delta_tmax,Nordeste,3,0.06058999470302037,0.06818181818181818,0,0,0
sensibilidade_consecutiva_10a,delta_tmax,Norte,1,1.1102973090277777,-0.554561717352415,0,0,0
sensibilidade_consecutiva_10a,delta_tmax,Sudeste,13,0.22228326116289412,-0.18902439024390244,1,1,0
sensibilidade_consecutiva_10a,delta_tmax,Sul,4,0.8993173256898538,0.02135538478672458,2,2,0
sensibilidade_consecutiva_10a,tmax_era5,Centro-Oeste,6,0.6760565439860027,-0.3097157915044372,0,0,0
sensibilidade_consecutiva_10a,tmax_era5,Nordeste,3,1.2337748209635417,-0.17657342657342656,0,0,0
sensibilidade_consecutiva_10a,tmax_era5,Norte,1,1.2786865234375,0.05366726296958855,1,1,0
sensibilidade_consecutiva_10a,tmax_era5,Sudeste,13,1.4545860290527344,-0.07352941176470588,2,2,0
sensibilidade_consecutiva_10a,tmax_era5,Sul,4,1.8587493896484375,0.0950569070001499,1,1,0
sensibilidade_consecutiva_10a,tmax_inmet,Centro-Oeste,6,1.3333326975504556,-0.26566866009255014,3,3,0
sensibilidade_consecutiva_10a,tmax_inmet,Nordeste,3,0.5793648674374535,0.006097560975609756,0,0,0
sensibilidade_consecutiva_10a,tmax_inmet,Norte,1,0.0,-0.10215053763440861,0,0,0
sensibilidade_consecutiva_10a,tmax_inmet,Sudeste,13,1.2363666187633169,-0.11220268872802482,1,1,0
sensibilidade_consecutiva_10a,tmax_inmet,Sul,4,0.9464294569832938,-0.17417703894519745,0,0,0
