ano,estacoes_elegiveis,celulas_era5,inmet_elegiveis,esperado_catalogo,pares_encontrados,sem_era5,match_pct,duplicados_inmet,duplicados_era5,duplicados_saida,nulos_saida,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,erro_min_c,erro_max_c,arquivo_mb,status
2000,5,5,19722,19722,19722,0,100.0,0,0,0,0,7.599999904632568,38.20000076293945,6.836007595062256,34.651023864746094,-8.130218505859375,13.11875057220459,0.1708364486694336,OK
2001,16,16,60807,60807,60807,0,100.0,0,0,0,0,3.0,39.599998474121094,3.0930418968200684,36.840965270996094,-9.793993949890137,12.26640510559082,0.5665807723999023,OK
2002,30,30,134426,134426,134426,0,100.0,0,0,0,0,-1.100000023841858,40.900001525878906,-0.7132323980331421,37.820457458496094,-10.018603324890137,14.58457088470459,1.1786413192749023,OK
2003,53,53,328190,328190,328190,0,100.0,0,0,0,0,0.0,43.29999923706055,-0.5662750005722046,37.083152770996094,-16.48002815246582,13.76005744934082,2.7766494750976562,OK
2004,55,55,332314,332314,332314,0,100.0,0,0,0,0,-0.8999999761581421,40.29999923706055,-0.5235351324081421,38.758201599121094,-16.724746704101562,24.475927352905273,2.803500175476074,OK
2005,62,62,419449,419449,419449,0,100.0,0,0,0,0,0.6000000238418579,45.0,1.0842071771621704,38.360252380371094,-24.75615119934082,25.15161895751953,3.600733757019043,OK
2006,151,150,630215,630215,630215,0,100.0,0,0,0,0,-1.899999976158142,44.900001525878906,-0.0003112792910542339,38.961082458496094,-17.84208869934082,19.203760147094727,5.264764785766602,OK
2007,261,259,1625337,1625337,1625337,0,100.0,0,0,0,0,-5.099999904632568,45.0,-3.2957825660705566,39.655662536621094,-21.703609466552734,23.2060546875,13.75011157989502,OK
2008,415,411,2949233,2949233,2949233,0,100.0,0,0,0,0,-9.699999809265137,45.0,-3.4936890602111816,39.686912536621094,-19.454931259155273,34.18485641479492,24.754586219787598,OK
2009,430,426,3464806,3464806,3464806,0,100.0,0,0,0,0,-5.300000190734863,44.900001525878906,-5.395376682281494,39.300926208496094,-27.348388671875,17.986474990844727,28.888007164001465,OK
2010,443,439,3506765,3506765,3506765,0,100.0,0,0,0,0,-4.699999809265137,44.900001525878906,-2.9169678688049316,39.972557067871094,-21.160058975219727,18.912792205810547,29.606661796569824,OK
2011,453,449,3612000,3612000,3612000,0,100.0,0,0,0,0,-9.600000381469727,44.29999923706055,-4.440512180328369,39.610984802246094,-23.70610237121582,31.779638290405273,30.37694549560547,OK
2012,466,462,3828097,3828097,3828097,0,100.0,0,0,0,0,-5.5,45.0,-4.560141086578369,41.218894958496094,-18.800537109375,15.626758575439453,32.06191921234131,OK
2013,470,466,3897481,3897481,3897481,0,100.0,0,0,0,0,-8.199999809265137,45.0,-3.0942749977111816,39.199851989746094,-26.33757972717285,26.99116325378418,32.72865390777588,OK
2014,472,467,3857419,3857419,3857419,0,100.0,0,0,0,0,-3.5,43.900001525878906,-2.7898926734924316,41.340476989746094,-18.000926971435547,15.932568550109863,32.10710906982422,OK
2015,481,475,3809411,3809411,3809411,0,100.0,0,0,0,0,-3.0,43.20000076293945,-1.711767554283142,40.445213317871094,-17.00468635559082,17.072021484375,31.955153465270996,OK
2016,511,505,3973839,3973839,3973839,0,100.0,0,0,0,0,-6.800000190734863,43.79999923706055,-4.005957126617432,39.842918395996094,-17.357860565185547,20.828710556030273,33.44009304046631,OK
2017,557,548,4274316,4274316,4274316,0,100.0,0,0,0,0,-7.599999904632568,44.400001525878906,-4.577459812164307,40.015037536621094,-25.51806640625,34.579002380371094,35.80528163909912,OK
2018,591,579,4619992,4619992,4619992,0,100.0,0,0,0,0,-3.9000000953674316,45.0,-2.543386936187744,39.150535583496094,-19.15074348449707,33.392967224121094,38.74638748168945,OK
2019,587,581,4613416,4613416,4613416,0,100.0,0,0,0,0,-6.800000190734863,44.79999923706055,-4.805029392242432,41.012840270996094,-21.567773818969727,18.45751953125,38.64909076690674,OK
2020,567,561,3978318,3978318,3978318,0,100.0,0,0,0,0,-8.199999809265137,44.79999923706055,-3.9696412086486816,42.625389099121094,-17.425975799560547,22.668848037719727,33.40806579589844,OK
2021,492,486,2933067,2933067,2933067,0,100.0,0,0,0,0,-8.199999809265137,45.0,-4.633810520172119,41.701316833496094,-19.536474227905273,17.921972274780273,24.780733108520508,OK
2022,534,529,3389142,3389142,3389142,0,100.0,0,0,0,0,-5.5,43.0,-2.3785462379455566,40.572654724121094,-14.383398056030273,16.485057830810547,28.62575626373291,OK
2023,551,546,4185933,4185933,4185933,0,100.0,0,0,0,0,-1.600000023841858,43.5,-1.5530608892440796,42.291160583496094,-15.243846893310547,17.70796012878418,34.88382148742676,OK
2024,541,536,4025896,4025896,4025896,0,100.0,0,0,0,0,-4.900000095367432,44.5,-4.226904392242432,41.973533630371094,-16.037548065185547,17.287160873413086,33.81333255767822,OK
2025,522,512,3457757,3457757,3457757,0,100.0,0,0,0,0,-7.300000190734863,43.79999923706055,-3.7375550270080566,39.964744567871094,-15.461669921875,27.546289443969727,29.0076904296875,OK
