ano,arquivos_csv,estacoes_processadas,linhas_horarias,temperaturas_validas,arquivos_com_erro,parquet_mb
2000,5,5,25176,19722,0,0.19
2001,16,16,69528,60807,0,0.59
2002,33,33,162432,134426,0,1.32
2003,55,55,449640,328307,0,3.18
2004,62,62,488112,335049,0,3.27
2005,64,64,552984,420492,0,4.07
2006,154,154,755808,631244,0,6.2
2007,264,264,1790328,1628364,0,15.92
2008,417,417,3139512,2951106,0,28.73
2009,434,434,3735408,3464806,0,33.71
2010,446,446,3844440,3506765,0,34.13
2011,456,456,3947616,3612000,0,35.15
2012,468,468,4033656,3828097,0,37.26
2013,473,473,4112520,3897481,0,37.96
2014,475,475,4147032,3857419,0,37.5
2015,484,484,4191888,3809411,0,37.08
2016,529,529,4372128,3973839,0,38.64
2017,563,563,4775544,4274316,0,41.58
2018,596,596,5128416,4623722,0,44.97
2019,589,589,5118216,4621985,0,45.01
2020,589,589,5173776,3988585,0,39.01
2021,588,588,5150880,2933067,0,28.71
2022,567,567,4948920,3389142,0,33.18
2023,567,567,4966920,4185933,0,40.84
2024,565,565,4962960,4025896,0,39.29
2025,594,594,5020248,3457757,0,33.78
