codigo,variavel,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_06i_segmento_c_decada,sen_06g_c_decada,rede_06g,rede_06i,delta_sen_06i_menos_06g,abs_delta_sen,mesmo_sinal_sen
A001,delta_tmax,BRASILIA,DF,Centro-Oeste,15,2011,2025,-0.409698486328125,-0.257568359375,principal_15a,principal_consecutiva_15a,-0.152130126953125,0.152130126953125,True
A002,delta_tmax,GOIANIA,GO,Centro-Oeste,15,2010,2024,-1.6530391148158483,-1.0189125754616477,principal_15a,principal_consecutiva_15a,-0.6341265393542006,0.6341265393542006,True
A036,delta_tmax,CRISTALINA,GO,Centro-Oeste,18,2008,2025,-0.5782737731933594,-0.5782737731933594,principal_15a,principal_consecutiva_15a,0.0,0.0,True
A045,delta_tmax,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,-0.7740473747253418,-0.7740473747253418,principal_15a,principal_consecutiva_15a,0.0,0.0,True
A101,delta_tmax,MANAUS,AM,Norte,15,2011,2025,1.1102973090277777,1.3182566716120792,principal_15a,principal_consecutiva_15a,-0.20795936258430148,0.20795936258430148,True
A507,delta_tmax,UBERLANDIA,MG,Sudeste,17,2009,2025,0.22228326116289412,0.16911824544270831,principal_15a,principal_consecutiva_15a,0.05316501572018581,0.05316501572018581,True
A521,delta_tmax,PAMPULHA,MG,Sudeste,17,2009,2025,0.36368370056152344,0.18246014912923175,principal_15a,principal_consecutiva_15a,0.18122355143229169,0.18122355143229169,True
A531,delta_tmax,MARIA DA FE,MG,Sudeste,18,2008,2025,-0.03441810607910156,-0.03441810607910156,principal_15a,principal_consecutiva_15a,0.0,0.0,True
A801,delta_tmax,PORTO ALEGRE,RS,Sul,19,2007,2025,0.5604347815880408,0.5604347815880408,principal_15a,principal_consecutiva_15a,0.0,0.0,True
A001,tmax_era5,BRASILIA,DF,Centro-Oeste,15,2011,2025,0.6863043043348525,0.6726310229060626,principal_15a,principal_consecutiva_15a,0.013673281428789874,0.013673281428789874,True
A002,tmax_era5,GOIANIA,GO,Centro-Oeste,15,2010,2024,0.6658087836371528,0.841796875,principal_15a,principal_consecutiva_15a,-0.1759880913628472,0.1759880913628472,True
A036,tmax_era5,CRISTALINA,GO,Centro-Oeste,18,2008,2025,0.5837673611111112,0.5837673611111112,principal_15a,principal_consecutiva_15a,0.0,0.0,True
