codigo,estacao,uf,regiao,n_anos_consecutivos,ano_inicio_segmento,ano_fim_segmento,rede_consecutiva_15a,rede_consecutiva_10a
A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,True,True
A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,True,True
A003,MORRINHOS,GO,Centro-Oeste,7,2014,2020,False,False
A009,PALMAS,TO,Norte,3,2008,2010,False,False
A010,PARANA,TO,Norte,5,2007,2011,False,False
A011,SAO SIMAO,GO,Centro-Oeste,3,2009,2011,False,False
A012,LUZIANIA,GO,Centro-Oeste,7,2007,2013,False,False
A013,ARAGARCAS,GO,Centro-Oeste,3,2008,2010,False,False
A014,GOIAS,GO,Centro-Oeste,4,2013,2016,False,False
A015,ITAPACI,GO,Centro-Oeste,3,2016,2018,False,False
A016,JATAI,GO,Centro-Oeste,9,2008,2016,False,False
A017,POSSE,GO,Centro-Oeste,3,2008,2010,False,False
A018,PEIXE,TO,Norte,2,2009,2010,False,False
A019,GURUPI,TO,Norte,5,2011,2015,False,False
A020,PEDRO AFONSO,TO,Norte,2,2008,2009,False,False
A021,ARAGUAINA,TO,Norte,4,2016,2019,False,False
A022,GOIANESIA,GO,Centro-Oeste,2,2009,2010,False,False
A023,CAIAPONIA,GO,Centro-Oeste,4,2008,2011,False,False
A024,ALTO PARAISO DE GOIAS,GO,Centro-Oeste,5,2010,2014,False,False
A025,RIO VERDE,GO,Centro-Oeste,2,2017,2018,False,False
A026,MINEIROS,GO,Centro-Oeste,2,2013,2014,False,False
A027,PARAUNA,GO,Centro-Oeste,4,2018,2021,False,False
A028,IPORA,GO,Centro-Oeste,2,2016,2017,False,False
A029,EDEIA,GO,Centro-Oeste,3,2022,2024,False,False
A031,SAO MIGUEL DO ARAGUAIA,GO,Centro-Oeste,1,2018,2018,False,False
A032,MONTE ALEGRE DE GOIAS,GO,Centro-Oeste,3,2008,2010,False,False
A033,PIRES DO RIO,GO,Centro-Oeste,4,2008,2011,False,False
A034,CATALAO,GO,Centro-Oeste,7,2019,2025,False,False
A035,ITUMBIARA,GO,Centro-Oeste,3,2009,2011,False,False
A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,True,True
A037,SILVANIA,GO,Centro-Oeste,5,2017,2021,False,False
A038,DIANOPOLIS,TO,Norte,4,2011,2014,False,False
A040,MATEIROS,TO,Norte,3,2023,2025,False,False
A041,MARIANOPOLIS DO TO,TO,Norte,2,2024,2025,False,False
A042,BRAZLANDIA,DF,Centro-Oeste,6,2020,2025,False,False
A043,CAMPOS LINDOS,TO,Norte,2,2014,2015,False,False
A044,ARAGUATINS,TO,Norte,5,2011,2015,False,False
A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,True,True
A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,False,True
A047,PARANOA (COOPA-DF),DF,Centro-Oeste,4,2018,2021,False,False
A048,SANTA FE DO ARAGUAIA,TO,Norte,3,2023,2025,False,False
A049,COLINAS DO TOCANTINS,TO,Norte,1,2017,2017,False,False
A051,PIUM,TO,Norte,2,2018,2019,False,False
A053,ALMAS,TO,Norte,2,2018,2019,False,False
A054,ARAGUACU,TO,Norte,1,2016,2016,False,False
A055,LAGOA DA CONFUSAO,TO,Norte,3,2023,2025,False,False
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,Centro-Oeste,2,2019,2020,False,False
A101,MANAUS,AM,Norte,15,2011,2025,True,True
A102,PARQUE ESTADUAL CHANDLESS,AC,Norte,3,2020,2022,False,False
A109,EIRUNEPE,AM,Norte,1,2015,2015,False,False
A110,BOCA DO ACRE,AM,Norte,3,2012,2014,False,False
A113,APUI,AM,Norte,5,2011,2015,False,False
A117,COARI,AM,Norte,2,2011,2012,False,False
A119,MANACAPURU,AM,Norte,5,2009,2013,False,False
A121,ITACOATIARA,AM,Norte,3,2009,2011,False,False
A122,MAUES,AM,Norte,6,2009,2014,False,False
A123,PARINTINS,AM,Norte,2,2009,2010,False,False
A126,PRESIDENTE FIGUEIREDO,AM,Norte,4,2012,2015,False,False
A128,BARCELOS,AM,Norte,4,2009,2012,False,False
A133,MANICORE,AM,Norte,4,2015,2018,False,False
A134,S. G. DA CACHOEIRA,AM,Norte,4,2016,2019,False,False
A135,BOA VISTA,RR,Norte,3,2011,2013,False,False
A136,PORTO WALTER,AC,Norte,1,2015,2015,False,False
A137,MARECHAL THAUMATURGO,AC,Norte,1,2015,2015,False,False
A140,EPITACIOLANDIA,AC,Norte,4,2016,2019,False,False
A144,NOVO ARIPUANA,AM,Norte,1,2025,2025,False,False
A201,BELEM,PA,Norte,4,2016,2019,False,False
A202,CASTANHAL,PA,Norte,5,2016,2020,False,False
A203,SAO LUIS,MA,Nordeste,6,2020,2025,False,False
A204,BALSAS,MA,Nordeste,2,2008,2009,False,False
A205,CAROLINA,MA,Nordeste,6,2012,2017,False,False
A206,CHAPADINHA,MA,Nordeste,5,2009,2013,False,False
A207,GRAJAU,MA,Nordeste,2,2013,2014,False,False
A209,MEDICILANDIA,PA,Norte,6,2009,2014,False,False
A210,PACAJA,PA,Norte,1,2025,2025,False,False
A211,PLACAS,PA,Norte,2,2009,2010,False,False
A213,TOME ACU,PA,Norte,2,2019,2020,False,False
A214,RONDON DO PARA,PA,Norte,4,2012,2015,False,False
A215,SALINOPOLIS,PA,Norte,2,2009,2010,False,False
A216,SAO FELIX DO XINGU,PA,Norte,1,2017,2017,False,False
A217,FAROL de SANTANA,MA,Nordeste,2,2009,2010,False,False
A218,PREGUICAS,MA,Nordeste,2,2009,2010,False,False
A219,TURIACU,MA,Nordeste,3,2012,2014,False,False
A220,BACABAL,MA,Nordeste,3,2015,2017,False,False
A221,BARRA DO CORDA,MA,Nordeste,3,2012,2014,False,False
A222,COLINAS,MA,Nordeste,2,2009,2010,False,False
A223,ALTO PARNAIBA,MA,Nordeste,4,2014,2017,False,False
A224,ESTREITO,MA,Nordeste,3,2023,2025,False,False
A225,IMPERATRIZ,MA,Nordeste,5,2009,2013,False,False
A226,BRAGANCA,PA,Norte,3,2013,2015,False,False
A228,BREVES,PA,Norte,2,2018,2019,False,False
A229,TUCURUI,PA,Norte,3,2009,2011,False,False
A230,SERRA DOS CARAJAS,PA,Norte,4,2009,2012,False,False
A231,ITAITUBA,PA,Norte,3,2009,2011,False,False
A233,SANTANA DO ARAGUAIA,PA,Norte,2,2009,2010,False,False
A234,TUCUMA,PA,Norte,3,2017,2019,False,False
A235,NOVO REPARTIMENTO,PA,Norte,4,2013,2016,False,False
A236,CAMETA,PA,Norte,1,2013,2013,False,False
A237,CAXIAS,MA,Nordeste,2,2023,2024,False,False
A238,BURITICUPU,MA,Nordeste,9,2009,2017,False,False
A239,MONTE ALEGRE,PA,Norte,1,2013,2013,False,False
A242,OIAPOQUE,AP,Norte,2,2024,2025,False,False
A244,PORTO GRANDE,AP,Norte,2,2023,2024,False,False
A245,PORTO DE MOZ,PA,Norte,2,2023,2024,False,False
A246,MINA DO PALITO,PA,Norte,3,2012,2014,False,False
A247,XINGUARA,PA,Norte,1,2017,2017,False,False
A248,CAPITAO POCO,PA,Norte,2,2012,2013,False,False
A249,MACAPA,AP,Norte,3,2023,2025,False,False
A250,SANTAREM,PA,Norte,2,2018,2019,False,False
A252,DOM ELISEU,PA,Norte,3,2023,2025,False,False
A253,ALTAMIRA,PA,Norte,2,2023,2024,False,False
A254,REDENCAO,PA,Norte,2,2020,2021,False,False
A255,ZE DOCA,MA,Nordeste,3,2023,2025,False,False
A256,SANTA MARIA DAS BARREIRAS,PA,Norte,1,2024,2024,False,False
A301,RECIFE,PE,Nordeste,6,2010,2015,False,False
A303,MACEIO,AL,Nordeste,7,2013,2019,False,False
A305,FORTALEZA,CE,Nordeste,3,2013,2015,False,False
A306,SOBRAL,CE,Nordeste,4,2017,2020,False,False
