Ano,Temperatura máxima (°C),Data/hora UTC,Latitude,Longitude,Fonte
1995,40.94,1995-12-18 18:00,-29.75,-54.25,original
1996,39.71,1996-09-27 18:00,-13.75,-51.0,original
1997,41.02,1997-10-14 18:00,-14.25,-51.75,original
1998,40.38,1998-09-16 18:00,-12.0,-50.5,original
1999,40.03,1999-09-05 18:00,-13.75,-51.0,original
2000,39.02,2000-01-18 20:00,-22.0,-57.75,original
2001,39.16,2001-10-05 18:00,-10.25,-42.75,original
2002,40.32,2002-10-27 18:00,-19.75,-58.0,original
2003,40.75,2003-11-11 19:00,-22.0,-55.0,original
2004,40.84,2004-09-27 18:00,-21.5,-53.0,original
2005,40.61,2005-09-21 18:00,-12.25,-50.5,original
2006,39.51,2006-12-21 18:00,-4.0,-42.75,original
2007,40.77,2007-09-17 18:00,-12.25,-50.5,original
2008,40.77,2008-10-29 19:00,-20.5,-58.0,original
2009,40.54,2009-11-19 19:00,-19.75,-58.0,original
2010,41.06,2010-09-25 18:00,-12.5,-50.5,original
2011,40.81,2011-09-23 18:00,-12.0,-50.5,original
2012,41.59,2012-10-30 19:00,-19.5,-58.0,original
2013,40.17,2013-12-06 18:00,-19.75,-56.5,original
2014,42.25,2014-10-15 19:00,-19.5,-55.75,original
2015,41.7,2015-10-18 18:00,-13.75,-51.0,original
2016,40.35,2016-11-25 18:00,-5.5,-42.0,original
2017,40.85,2017-10-25 18:00,-12.0,-50.5,original
2018,39.63,2018-09-18 18:00,-5.75,-42.25,original
2019,41.53,2019-09-14 18:00,-13.75,-51.0,original
2020,42.94,2020-10-03 18:00,-21.25,-53.0,original
2021,42.62,2021-09-20 19:00,-19.5,-58.0,original
2022,40.57,2022-01-16 18:00,-29.75,-57.0,original
2023,42.29,2023-11-18 19:00,-22.75,-43.5,original
2024,42.24,2024-10-07 19:00,-19.5,-58.0,original
2025,40.85,2025-09-13 19:00,-16.75,-56.25,original
