rede,descricao_rede,codigo,variavel,descricao_variavel,n_anos,primeiro_ano,ultimo_ano,amplitude_anos,anos_faltantes_na_amplitude,valor_min_c,valor_mediano_c,valor_medio_c,valor_max_c,sen_slope_c_ano,sen_slope_c_decada,mk_s,mk_var_s,mk_z,mk_tau,mk_p,rho1_anos_consecutivos,n_pares_rho1,estacao,uf,regiao,mk_p_fdr,significativo_p05,significativo_fdr05,tendencia_mk_p05,tendencia_mk_fdr05,autocorrelacao_abs_ge_03
principal_15a,>=15 anos válidos,A001,delta_tmax,Diferença das máximas anuais ERA5 - INMET,20,2003,2025,23,3,-1.6190910339355469,-0.5014896392822266,-0.4258705139160156,0.39980316162109375,-0.0257568359375,-0.257568359375,-38.0,950.0,-1.2004385163676428,-0.2,0.22996907772364034,0.17697065284646163,17,BRASILIA,DF,Centro-Oeste,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A002,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2006,2024,19,1,-5.613330841064453,-2.2148208618164062,-2.469120873345269,-1.0187034606933594,-0.10189125754616478,-1.0189125754616477,-63.0,697.0,-2.3484174591435676,-0.4117647058823529,0.018853377367019176,0.24207799894367207,16,GOIANIA,GO,Centro-Oeste,0.17116127753616073,True,False,decrescente,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A003,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2006,2025,20,4,-2.6012725830078125,-0.9940204620361328,-1.2068748474121094,-0.08628082275390625,-0.06362197449157289,-0.636219744915729,-44.0,493.3333333333333,-1.9359682262302171,-0.36666666666666664,0.0528715926149876,0.37693960570953033,12,MORRINHOS,GO,Centro-Oeste,0.264357963074938,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A012,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-2.2452659606933594,-0.8965835571289062,-1.0340579986572265,-0.3476104736328125,0.01755205790201823,0.1755205790201823,9.0,408.3333333333333,0.39589732744431483,0.08571428571428572,0.6921807727218765,0.37932925269575674,11,LUZIANIA,GO,Centro-Oeste,0.8899467077852699,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A036,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2008,2025,18,0,-0.7791500091552734,0.7443580627441406,0.6265228059556749,1.6254386901855469,-0.05782737731933594,-0.5782737731933594,-49.0,697.0,-1.8181296457885685,-0.3202614379084967,0.06904431984775122,-0.11524125295662137,17,CRISTALINA,GO,Centro-Oeste,0.30610066542171016,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A045,delta_tmax,Diferença das máximas anuais ERA5 - INMET,17,2009,2025,17,0,-2.7560081481933594,-2.0555686950683594,-1.9010639190673828,-1.0407257080078125,-0.07740473747253418,-0.7740473747253418,-60.0,589.3333333333334,-2.430365035986322,-0.4411764705882353,0.015083622594694817,0.33494196498519474,16,AGUAS EMENDADAS,DF,Centro-Oeste,0.17116127753616073,True,False,decrescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A101,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2007,2025,19,3,-5.0717315673828125,-1.3944091796875,-1.8030896186828613,0.4052734375,0.13182566716120792,1.3182566716120792,44.0,493.3333333333333,1.9359682262302171,0.36666666666666664,0.0528715926149876,-0.39395676776125216,14,MANAUS,AM,Norte,0.264357963074938,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A303,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2004,2025,22,7,-10.07143783569336,-3.368457794189453,-4.032562510172526,-2.4278831481933594,0.08995225694444445,0.8995225694444444,35.0,408.3333333333333,1.6825636416383378,0.3333333333333333,0.09245959511086127,0.8678020423617341,10,MACEIO,AL,Nordeste,0.3467234816657298,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A310,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2005,2024,20,5,-4.817138671875,-0.8670425415039062,-1.0445383707682292,-0.05668830871582031,0.010659731351412259,0.10659731351412259,11.0,408.3333333333333,0.4948716593053935,0.10476190476190476,0.6206907170753548,-0.6159750190016624,10,AREIA,PB,Nordeste,0.8728463208872177,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A401,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2004,2025,22,7,-8.255762100219727,-4.303319931030273,-4.370016098022461,-2.0284671783447266,0.0499267578125,0.499267578125,23.0,408.3333333333333,1.0887176504718656,0.21904761904761905,0.2762784158080179,0.2592253199181829,11,SALVADOR,BA,Nordeste,0.5651149414254911,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A408,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2004,2025,22,6,-3.6376495361328125,-0.7080574035644531,-1.2295489311218262,0.1584930419921875,-0.05425665928767277,-0.5425665928767277,-30.0,493.3333333333333,-1.3056529897831697,-0.25,0.19167059142275544,-0.2973317489652218,11,ITABERABA,BA,Nordeste,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A502,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2009,2025,17,2,-2.11181640625,-1.074951171875,-1.0737925211588542,-0.2902336120605469,0.019208908081054688,0.19208908081054688,9.0,408.3333333333333,0.39589732744431483,0.08571428571428572,0.6921807727218765,-0.22279339428286704,12,BARBACENA,MG,Sudeste,0.8899467077852699,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A505,delta_tmax,Diferença das máximas anuais ERA5 - INMET,17,2003,2024,22,5,-1.9426250457763672,-0.9913101196289062,-1.0950003231272978,-0.3013191223144531,0.02180061340332031,0.21800613403320312,24.0,589.3333333333334,0.9474304377573798,0.17647058823529413,0.34341948718274173,0.14516267040640096,13,ARAXA,MG,Sudeste,0.6199515413623299,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A506,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2004,2025,22,6,-3.4657249450683594,-2.495973587036133,-2.4799578189849854,-1.8187522888183594,-0.02918985154893663,-0.2918985154893663,-26.0,493.3333333333333,-1.1255629222268704,-0.21666666666666667,0.26035056965599135,0.49402346977478867,12,MONTES CLAROS,MG,Sudeste,0.5651149414254911,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A507,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2007,2025,19,1,-2.1288108825683594,-1.3905296325683594,-1.3458593156602647,-0.00595855712890625,0.016911824544270832,0.16911824544270831,17.0,697.0,0.6060432152628562,0.1111111111111111,0.5444860568259107,0.39367271525918157,16,UBERLANDIA,MG,Sudeste,0.8021832460589736,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A509,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2007,2025,19,1,-0.31894493103027344,0.8648443222045898,0.88077269660102,2.661130905151367,0.018045152936662947,0.18045152936662948,17.0,697.0,0.6060432152628562,0.1111111111111111,0.5444860568259107,-0.09952320299175312,16,MONTE VERDE,MG,Sudeste,0.8021832460589736,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A510,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2008,2025,18,2,-3.8168487548828125,-2.7068862915039062,-2.597867965698242,-0.9132328033447266,0.02235126495361328,0.2235126495361328,8.0,493.3333333333333,0.31515761822352373,0.06666666666666667,0.7526419827681855,0.2444213381978966,13,VICOSA,MG,Sudeste,0.9022184938160344,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A513,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-8.308835983276367,-2.8016605377197266,-3.1570509592692058,-2.030029296875,0.0031476338704427083,0.031476338704427086,3.0,408.3333333333333,0.09897433186107871,0.02857142857142857,0.9211586502250249,-0.035639582430657936,12,OURO BRANCO,MG,Sudeste,0.9869556966696694,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A521,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2007,2025,19,1,-4.572118759155273,-3.2549314498901367,-3.3746832741631403,-1.8855476379394531,0.018246014912923176,0.18246014912923175,9.0,697.0,0.3030216076314281,0.058823529411764705,0.7618733947779847,-0.07038034604058391,16,PAMPULHA,MG,Sudeste,0.9022184938160344,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A525,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-4.423439025878906,-1.182861328125,-1.4994087219238281,-0.369873046875,-0.0639190673828125,-0.639190673828125,-47.0,408.3333333333333,-2.27640963280481,-0.44761904761904764,0.022821503671488098,0.029367935089346264,11,SACRAMENTO,MG,Sudeste,0.17116127753616073,True,False,decrescente,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A528,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-3.702442169189453,0.040283203125,-0.31474711100260416,0.9376945495605469,0.01823743184407552,0.1823743184407552,5.0,408.3333333333333,0.19794866372215741,0.047619047619047616,0.8430852292699837,-0.1285714977355869,11,TRES MARIAS,MG,Sudeste,0.9484708829287317,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A530,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2024,18,3,-2.615234375,-1.7474632263183594,-1.7389818827311199,-0.8942413330078125,-0.03785371780395508,-0.3785371780395508,-21.0,408.3333333333333,-0.989743318610787,-0.2,0.3222995958719193,0.2691005439186954,11,CALDAS,MG,Sudeste,0.6199515413623299,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A531,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2008,2025,18,0,-2.044384002685547,-0.8088865280151367,-0.8023160298665365,-0.06337928771972656,-0.0034418106079101562,-0.03441810607910156,-1.0,697.0,0.0,-0.006535947712418301,1.0,0.1814828645016548,17,MARIA DA FE,MG,Sudeste,1.0,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A533,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2008,2024,17,1,-2.6747093200683594,-0.8471698760986328,-0.9069781303405762,0.7400360107421875,-0.04577951431274414,-0.4577951431274414,-22.0,493.3333333333333,-0.9454728546705712,-0.18333333333333332,0.3444175229790722,-0.14942438609438377,14,GUANHAES,MG,Sudeste,0.6199515413623299,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A538,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-2.860645294189453,-1.6886749267578125,-1.8445457458496093,-0.910888671875,-0.04077744483947754,-0.4077744483947754,-29.0,408.3333333333333,-1.3856406460551018,-0.2761904761904762,0.16585666034290997,-0.07424876248655911,10,CURVELO,MG,Sudeste,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A539,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2025,18,3,-3.148731231689453,-1.9052734375,-1.6844319661458333,1.8572235107421875,-0.03933143615722656,-0.3933143615722656,-23.0,408.3333333333333,-1.0887176504718656,-0.21904761904761905,0.2762784158080179,0.06446198371607227,13,MOCAMBINHO,MG,Sudeste,0.5651149414254911,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
