ano,esperado,encontrado,duplicados,faltantes,extras,status
1995,2190,2190,0,0,0,APROVADO
1996,2196,2196,0,0,0,APROVADO
1997,2190,2190,0,0,0,APROVADO
1998,2190,2190,0,0,0,APROVADO
1999,2190,2190,0,0,0,APROVADO
2000,2196,2196,0,0,0,APROVADO
2001,2190,2190,0,0,0,APROVADO
2002,2190,2190,0,0,0,APROVADO
2003,2190,2190,0,0,0,APROVADO
2004,2196,2196,0,0,0,APROVADO
2005,2190,2190,0,0,0,APROVADO
2006,2190,2190,0,0,0,APROVADO
2007,2190,2190,0,0,0,APROVADO
2008,2196,2196,0,0,0,APROVADO
2009,2190,2190,0,0,0,APROVADO
2010,2190,2190,0,0,0,APROVADO
2011,2190,2190,0,0,0,APROVADO
2012,2196,2196,0,0,0,APROVADO
2013,2190,2190,0,0,0,APROVADO
2014,2190,2190,0,0,0,APROVADO
2015,2190,2190,0,0,0,APROVADO
2016,2196,2196,0,0,0,APROVADO
2017,2190,2190,0,0,0,APROVADO
2018,2190,2190,0,0,0,APROVADO
2019,2190,2190,0,0,0,APROVADO
2020,2196,2196,0,0,0,APROVADO
2021,2190,2190,0,0,0,APROVADO
2022,2190,2190,0,0,0,APROVADO
2023,2190,2190,0,0,0,APROVADO
2024,2196,2196,0,0,0,APROVADO
2025,2190,2190,0,0,0,APROVADO
